apn_usage_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-APN_USAGE_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,76.48,index,valid,synthetic_core,144,273,267,26.66
CORE-APN_USAGE_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,21.95,index,valid,synthetic_core,124,335,331,50.78
CORE-APN_USAGE_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,69.95,index,valid,synthetic_core,206,565,559,63.77
CORE-APN_USAGE_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,59.21,index,valid,synthetic_core,204,595,594,27.72
CORE-APN_USAGE_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,53.98,index,valid,synthetic_core,260,434,422,26.27
CORE-APN_USAGE_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,54.42,index,valid,synthetic_core,166,546,539,62.07
CORE-APN_USAGE_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,49.28,index,valid,synthetic_core,114,240,238,42.84
CORE-APN_USAGE_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,45.26,index,valid,synthetic_core,201,244,243,54.79
CORE-APN_USAGE_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,59.36,index,valid,synthetic_core,176,424,420,23.6
CORE-APN_USAGE_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,67.56,index,valid,synthetic_core,189,466,455,51.77
CORE-APN_USAGE_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,47.59,index,valid,synthetic_core,263,517,516,53.42
CORE-APN_USAGE_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,65.32,index,valid,synthetic_core,289,428,423,46.04
CORE-APN_USAGE_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,29.57,index,valid,synthetic_core,270,262,251,69.85
CORE-APN_USAGE_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,46.43,index,valid,synthetic_core,239,588,586,26.44
CORE-APN_USAGE_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,44.7,index,valid,synthetic_core,284,299,292,57.02
CORE-APN_USAGE_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,27.49,index,valid,synthetic_core,202,513,506,36.35
CORE-APN_USAGE_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,29.02,index,valid,synthetic_core,259,274,268,67.65
CORE-APN_USAGE_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,44.89,index,valid,synthetic_core,254,589,577,49.46
CORE-APN_USAGE_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,61.76,index,valid,synthetic_core,105,400,391,56.03
CORE-APN_USAGE_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,65.47,index,valid,synthetic_core,252,404,403,49.18
CORE-APN_USAGE_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,45.81,index,valid,synthetic_core,150,275,267,27.19
CORE-APN_USAGE_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,21.08,index,valid,synthetic_core,207,521,509,20.39
CORE-APN_USAGE_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,77.92,index,valid,synthetic_core,145,517,513,24.8
CORE-APN_USAGE_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,55.41,index,valid,synthetic_core,132,521,520,26.11
CORE-APN_USAGE_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,51.45,index,valid,synthetic_core,142,222,219,26.68
