bearer_setup_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-BEARER_SETUP_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,27.15,index,valid,synthetic_core,117,406,400,59.58
CORE-BEARER_SETUP_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,68.63,index,valid,synthetic_core,219,599,598,52.12
CORE-BEARER_SETUP_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,36.97,index,valid,synthetic_core,268,340,328,39.09
CORE-BEARER_SETUP_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,68.37,index,valid,synthetic_core,118,492,481,44.93
CORE-BEARER_SETUP_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,23.89,index,valid,synthetic_core,238,476,465,63.43
CORE-BEARER_SETUP_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,69.03,index,valid,synthetic_core,295,533,523,33.34
CORE-BEARER_SETUP_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,69.31,index,valid,synthetic_core,122,363,361,35.31
CORE-BEARER_SETUP_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,68.81,index,valid,synthetic_core,280,436,431,44.81
CORE-BEARER_SETUP_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,40.07,index,valid,synthetic_core,160,535,534,38.42
CORE-BEARER_SETUP_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,49.48,index,valid,synthetic_core,130,408,403,47.38
CORE-BEARER_SETUP_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,84.28,index,valid,synthetic_core,300,489,477,48.65
CORE-BEARER_SETUP_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,37.92,index,valid,synthetic_core,259,456,448,29.51
CORE-BEARER_SETUP_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,27.64,index,valid,synthetic_core,190,447,437,33.16
CORE-BEARER_SETUP_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,30.02,index,valid,synthetic_core,178,531,523,68.03
CORE-BEARER_SETUP_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,52.63,index,valid,synthetic_core,216,556,554,22.47
CORE-BEARER_SETUP_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,70.5,index,valid,synthetic_core,147,353,351,56.27
CORE-BEARER_SETUP_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,27.68,index,valid,synthetic_core,276,408,396,44.08
CORE-BEARER_SETUP_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,16.7,index,valid,synthetic_core,128,546,540,63.91
CORE-BEARER_SETUP_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,29.3,index,valid,synthetic_core,150,458,451,59.3
CORE-BEARER_SETUP_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,30.45,index,valid,synthetic_core,184,268,264,59.12
CORE-BEARER_SETUP_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,82.19,index,valid,synthetic_core,200,356,351,35.92
CORE-BEARER_SETUP_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,73.13,index,valid,synthetic_core,147,367,358,25.43
CORE-BEARER_SETUP_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,62.75,index,valid,synthetic_core,274,506,505,41.65
CORE-BEARER_SETUP_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,33.14,index,valid,synthetic_core,190,242,238,50.15
CORE-BEARER_SETUP_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,55.86,index,valid,synthetic_core,245,410,405,43.98
CORE-BEARER_SETUP_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,76.68,index,valid,synthetic_core,204,504,497,53.98
CORE-BEARER_SETUP_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,28.53,index,valid,synthetic_core,186,559,553,43.28
CORE-BEARER_SETUP_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,45.96,index,degraded,synthetic_core,218,414,410,43.26
CORE-BEARER_SETUP_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,40.55,index,valid,synthetic_core,168,390,387,50.37
CORE-BEARER_SETUP_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,71.36,index,valid,synthetic_core,190,431,426,29.63
CORE-BEARER_SETUP_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,26.9,index,valid,synthetic_core,166,479,467,23.98
CORE-BEARER_SETUP_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,23.49,index,valid,synthetic_core,290,493,482,49.46
CORE-BEARER_SETUP_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,34.58,index,valid,synthetic_core,221,498,497,38.51
CORE-BEARER_SETUP_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.85,index,valid,synthetic_core,234,312,305,40.02
CORE-BEARER_SETUP_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,73.44,index,valid,synthetic_core,268,597,587,47.93
CORE-BEARER_SETUP_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,43.8,index,valid,synthetic_core,159,328,317,30.42
CORE-BEARER_SETUP_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,50.31,index,valid,synthetic_core,233,571,563,50.09
CORE-BEARER_SETUP_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,22.88,index,valid,synthetic_core,256,405,395,58.59
CORE-BEARER_SETUP_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,50.89,index,valid,synthetic_core,136,402,401,60.79
