core_config_change_id,location_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,session_count,request_count,success_count,cpu_pct
CORE-CORE_CONFIG_CHANGE-00-00,LOC001,DBN,KV1,active,2026-08-18 00:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,165,476,472,64.9
CORE-CORE_CONFIG_CHANGE-00-09,LOC001,DBN,KV1,active,2026-08-18 09:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,272,561,560,29.69
CORE-CORE_CONFIG_CHANGE-00-18,LOC001,DBN,KV1,active,2026-08-18 18:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,193,582,576,23.53
CORE-CORE_CONFIG_CHANGE-00-27,LOC001,DBN,KV1,degraded,2026-08-19 03:00:00,CORE_CONFIG_CHANGE,major,failed,3600,synthetic_core,141,282,276,61.14
CORE-CORE_CONFIG_CHANGE-00-36,LOC001,DBN,KV1,active,2026-08-19 12:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,221,483,478,28.19
CORE-CORE_CONFIG_CHANGE-00-45,LOC001,DBN,KV1,active,2026-08-19 21:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,215,242,239,58.69
CORE-CORE_CONFIG_CHANGE-00-54,LOC001,DBN,KV1,active,2026-08-20 06:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,226,568,563,22.6
CORE-CORE_CONFIG_CHANGE-00-63,LOC001,DBN,KV1,active,2026-08-20 15:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,204,478,468,38.76
CORE-CORE_CONFIG_CHANGE-01-00,LOC002,SLA,KV1,active,2026-08-18 00:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,268,230,224,21.2
CORE-CORE_CONFIG_CHANGE-01-09,LOC002,SLA,KV1,active,2026-08-18 09:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,157,326,322,40.0
CORE-CORE_CONFIG_CHANGE-01-18,LOC002,SLA,KV1,active,2026-08-18 18:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,152,495,487,27.02
