core_latency_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-CORE_LATENCY_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,66.78,index,valid,synthetic_core,249,494,483,26.91
CORE-CORE_LATENCY_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,43.36,index,valid,synthetic_core,145,564,560,39.29
CORE-CORE_LATENCY_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,18.45,index,valid,synthetic_core,176,466,463,66.49
CORE-CORE_LATENCY_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,32.22,index,valid,synthetic_core,279,418,411,40.6
CORE-CORE_LATENCY_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,60.52,index,valid,synthetic_core,140,298,292,36.53
CORE-CORE_LATENCY_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,63.39,index,valid,synthetic_core,280,559,549,23.67
CORE-CORE_LATENCY_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,21.84,index,valid,synthetic_core,197,280,273,55.0
CORE-CORE_LATENCY_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,58.27,index,valid,synthetic_core,154,451,443,25.5
CORE-CORE_LATENCY_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,33.94,index,valid,synthetic_core,117,498,491,39.34
CORE-CORE_LATENCY_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,77.88,index,valid,synthetic_core,224,388,383,24.23
CORE-CORE_LATENCY_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,59.39,index,valid,synthetic_core,184,231,219,41.1
CORE-CORE_LATENCY_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,57.9,index,valid,synthetic_core,166,253,250,28.75
CORE-CORE_LATENCY_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,27.54,index,valid,synthetic_core,119,362,352,67.74
CORE-CORE_LATENCY_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,65.35,index,valid,synthetic_core,230,406,403,48.84
CORE-CORE_LATENCY_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,73.84,index,valid,synthetic_core,288,237,226,38.04
CORE-CORE_LATENCY_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,19.2,index,valid,synthetic_core,134,287,282,58.75
CORE-CORE_LATENCY_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,38.69,index,valid,synthetic_core,221,249,240,48.26
CORE-CORE_LATENCY_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,49.13,index,valid,synthetic_core,101,514,510,45.96
CORE-CORE_LATENCY_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,40.97,index,valid,synthetic_core,146,385,375,40.95
CORE-CORE_LATENCY_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,44.78,index,valid,synthetic_core,260,411,400,40.42
CORE-CORE_LATENCY_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,58.8,index,valid,synthetic_core,287,462,454,63.79
CORE-CORE_LATENCY_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,21.94,index,valid,synthetic_core,175,598,591,49.7
CORE-CORE_LATENCY_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,75.35,index,valid,synthetic_core,262,466,465,28.03
CORE-CORE_LATENCY_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,66.91,index,valid,synthetic_core,161,589,588,47.46
CORE-CORE_LATENCY_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,65.94,index,valid,synthetic_core,150,293,287,50.34
CORE-CORE_LATENCY_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,62.63,index,valid,synthetic_core,269,594,582,25.46
CORE-CORE_LATENCY_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,83.41,index,valid,synthetic_core,189,389,381,54.41
CORE-CORE_LATENCY_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,55.46,index,degraded,synthetic_core,189,542,540,34.07
CORE-CORE_LATENCY_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.78,index,valid,synthetic_core,229,236,231,44.88
CORE-CORE_LATENCY_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,55.21,index,valid,synthetic_core,251,458,449,62.93
CORE-CORE_LATENCY_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,82.33,index,valid,synthetic_core,211,256,246,38.88
CORE-CORE_LATENCY_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,39.0,index,valid,synthetic_core,153,375,368,63.72
CORE-CORE_LATENCY_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,25.72,index,valid,synthetic_core,152,361,354,50.75
CORE-CORE_LATENCY_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,68.38,index,valid,synthetic_core,285,344,342,63.13
CORE-CORE_LATENCY_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,63.21,index,valid,synthetic_core,178,473,464,36.53
CORE-CORE_LATENCY_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,58.72,index,valid,synthetic_core,141,543,531,24.91
