core_memory_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-CORE_MEMORY_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,18.0,index,valid,synthetic_core,214,279,271,32.84
CORE-CORE_MEMORY_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,63.86,index,valid,synthetic_core,125,338,336,52.68
CORE-CORE_MEMORY_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,33.34,index,valid,synthetic_core,255,241,229,34.85
CORE-CORE_MEMORY_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,62.49,index,valid,synthetic_core,105,549,548,53.25
CORE-CORE_MEMORY_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,60.4,index,valid,synthetic_core,102,521,512,65.42
CORE-CORE_MEMORY_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,73.42,index,valid,synthetic_core,159,424,420,31.36
CORE-CORE_MEMORY_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,43.12,index,valid,synthetic_core,105,233,224,63.57
CORE-CORE_MEMORY_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,57.4,index,valid,synthetic_core,160,200,195,29.47
CORE-CORE_MEMORY_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,34.49,index,valid,synthetic_core,166,495,494,51.38
CORE-CORE_MEMORY_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,50.39,index,valid,synthetic_core,204,334,331,58.3
CORE-CORE_MEMORY_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,23.14,index,valid,synthetic_core,298,397,385,29.63
CORE-CORE_MEMORY_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,16.63,index,valid,synthetic_core,186,498,492,22.21
