core_traffic_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-CORE_TRAFFIC_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,32.69,index,valid,synthetic_core,183,294,286,29.98
CORE-CORE_TRAFFIC_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,50.75,index,valid,synthetic_core,213,233,228,62.65
CORE-CORE_TRAFFIC_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,49.56,index,valid,synthetic_core,180,251,241,59.15
CORE-CORE_TRAFFIC_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,57.11,index,valid,synthetic_core,219,450,441,61.74
CORE-CORE_TRAFFIC_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,35.41,index,valid,synthetic_core,166,531,528,50.9
CORE-CORE_TRAFFIC_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,37.41,index,valid,synthetic_core,203,293,284,61.01
CORE-CORE_TRAFFIC_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,83.73,index,valid,synthetic_core,281,577,573,33.65
CORE-CORE_TRAFFIC_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,27.59,index,valid,synthetic_core,184,549,537,49.73
CORE-CORE_TRAFFIC_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,24.56,index,valid,synthetic_core,150,419,409,21.2
CORE-CORE_TRAFFIC_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,51.75,index,valid,synthetic_core,124,376,373,69.7
CORE-CORE_TRAFFIC_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,53.97,index,valid,synthetic_core,212,547,543,36.44
CORE-CORE_TRAFFIC_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,58.63,index,valid,synthetic_core,200,584,581,39.12
CORE-CORE_TRAFFIC_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,57.2,index,valid,synthetic_core,256,594,585,66.91
