gateway_alarm_id,location_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,session_count,request_count,success_count,cpu_pct
CORE-GATEWAY_ALARM-00-00,LOC001,DBN,KV1,active,2026-08-18 00:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,235,402,396,20.72
CORE-GATEWAY_ALARM-00-09,LOC001,DBN,KV1,active,2026-08-18 09:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,140,200,189,45.79
CORE-GATEWAY_ALARM-00-18,LOC001,DBN,KV1,active,2026-08-18 18:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,228,600,592,59.92
CORE-GATEWAY_ALARM-00-27,LOC001,DBN,KV1,degraded,2026-08-19 03:00:00,GATEWAY_ALARM,major,failed,3600,synthetic_core,298,515,506,41.85
CORE-GATEWAY_ALARM-00-36,LOC001,DBN,KV1,active,2026-08-19 12:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,286,519,514,31.41
CORE-GATEWAY_ALARM-00-45,LOC001,DBN,KV1,active,2026-08-19 21:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,100,359,348,41.93
CORE-GATEWAY_ALARM-00-54,LOC001,DBN,KV1,active,2026-08-20 06:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,157,408,400,36.52
CORE-GATEWAY_ALARM-00-63,LOC001,DBN,KV1,active,2026-08-20 15:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,201,457,447,66.91
CORE-GATEWAY_ALARM-01-00,LOC002,SLA,KV1,active,2026-08-18 00:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,287,261,260,42.54
CORE-GATEWAY_ALARM-01-09,LOC002,SLA,KV1,active,2026-08-18 09:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,209,363,351,52.07
CORE-GATEWAY_ALARM-01-18,LOC002,SLA,KV1,active,2026-08-18 18:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,224,235,229,58.62
CORE-GATEWAY_ALARM-01-27,LOC002,SLA,KV1,active,2026-08-19 03:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,110,239,233,65.27
CORE-GATEWAY_ALARM-01-36,LOC002,SLA,KV1,active,2026-08-19 12:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,297,459,453,37.85
CORE-GATEWAY_ALARM-01-45,LOC002,SLA,KV1,degraded,2026-08-19 21:00:00,GATEWAY_ALARM,major,failed,3600,synthetic_core,110,395,392,36.55
CORE-GATEWAY_ALARM-01-54,LOC002,SLA,KV1,active,2026-08-20 06:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,246,338,335,23.75
CORE-GATEWAY_ALARM-01-63,LOC002,SLA,KV1,active,2026-08-20 15:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,175,532,520,48.02
CORE-GATEWAY_ALARM-02-00,LOC003,CMU,KV3,active,2026-08-18 00:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,106,247,246,43.64
CORE-GATEWAY_ALARM-02-09,LOC003,CMU,KV3,active,2026-08-18 09:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,112,560,550,53.1
CORE-GATEWAY_ALARM-02-18,LOC003,CMU,KV3,active,2026-08-18 18:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,212,257,250,42.57
CORE-GATEWAY_ALARM-02-27,LOC003,CMU,KV3,active,2026-08-19 03:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,297,590,586,45.88
CORE-GATEWAY_ALARM-02-36,LOC003,CMU,KV3,active,2026-08-19 12:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,125,560,554,38.77
CORE-GATEWAY_ALARM-02-45,LOC003,CMU,KV3,active,2026-08-19 21:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,208,330,320,26.94
CORE-GATEWAY_ALARM-02-54,LOC003,CMU,KV3,active,2026-08-20 06:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,249,573,562,40.58
CORE-GATEWAY_ALARM-02-63,LOC003,CMU,KV3,active,2026-08-20 15:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,111,203,198,38.38
CORE-GATEWAY_ALARM-03-00,LOC004,NBH,KV1,active,2026-08-18 00:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,174,514,510,25.42
CORE-GATEWAY_ALARM-03-09,LOC004,NBH,KV1,active,2026-08-18 09:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,245,269,258,61.48
CORE-GATEWAY_ALARM-03-18,LOC004,NBH,KV1,active,2026-08-18 18:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,115,520,516,51.48
CORE-GATEWAY_ALARM-03-27,LOC004,NBH,KV1,active,2026-08-19 03:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,216,240,228,25.21
