gateway_id,province_code,area_code,date_hour,active_sessions,attach_attempt,attach_success,traffic_gb,cpu_pct,memory_pct,latency_ms,drop_count,status
GW01,DBN,KV1,2026-08-18-00,253,457,454,27.94,59.76,63.96,12.51,3,up
GW02,SLA,KV1,2026-08-18-00,227,505,500,51.11,54.12,65.11,12.59,5,up
GW03,CMU,KV3,2026-08-18-00,232,571,559,45.13,67.49,35.32,14.9,12,up
GW04,NBH,KV1,2026-08-18-00,323,638,634,52.09,44.65,72.23,5.77,4,up
GW05,HCM,KV3,2026-08-18-00,266,621,607,62.86,32.59,36.89,24.74,14,up
GW06,KHA,KV2,2026-08-18-00,292,467,463,49.88,47.73,55.88,10.95,4,up
GW01,DBN,KV1,2026-08-18-01,259,461,452,57.82,46.11,35.32,9.88,9,up
GW02,SLA,KV1,2026-08-18-01,331,350,338,64.41,30.41,39.13,9.59,12,up
GW03,CMU,KV3,2026-08-18-01,282,619,616,55.09,62.93,55.88,16.26,3,up
GW04,NBH,KV1,2026-08-18-01,308,542,534,24.66,32.96,51.84,12.8,8,up
GW05,HCM,KV3,2026-08-18-01,274,300,294,27.43,22.94,39.24,14.19,6,up
GW06,KHA,KV2,2026-08-18-01,337,477,466,64.36,57.09,56.3,24.17,11,up
GW01,DBN,KV1,2026-08-18-02,297,446,439,35.35,29.58,69.66,21.57,7,up
GW02,SLA,KV1,2026-08-18-02,152,457,449,46.98,22.67,59.86,8.32,8,up
GW03,CMU,KV3,2026-08-18-02,235,644,629,63.05,45.69,66.5,20.47,15,up
GW04,NBH,KV1,2026-08-18-02,315,471,463,57.58,34.9,54.16,6.83,8,up
GW05,HCM,KV3,2026-08-18-02,288,666,658,44.18,52.56,70.02,8.28,8,up
GW06,KHA,KV2,2026-08-18-02,255,638,626,69.77,59.91,38.26,17.76,12,up
GW01,DBN,KV1,2026-08-18-03,281,510,498,58.21,45.77,60.61,13.54,12,up
GW02,SLA,KV1,2026-08-18-03,283,669,665,22.49,60.83,51.66,14.14,4,up
GW03,CMU,KV3,2026-08-18-03,317,569,563,31.29,31.44,56.98,22.06,6,up
GW04,NBH,KV1,2026-08-18-03,350,605,592,60.56,31.48,57.1,10.62,13,up
GW05,HCM,KV3,2026-08-18-03,304,321,314,27.42,51.01,52.12,10.47,7,up
GW06,KHA,KV2,2026-08-18-03,282,605,593,63.13,53.96,59.02,5.45,12,up
GW01,DBN,KV1,2026-08-18-04,339,320,314,42.78,55.08,74.39,9.04,6,up
GW02,SLA,KV1,2026-08-18-04,335,615,611,69.4,55.8,64.98,11.43,4,up
GW03,CMU,KV3,2026-08-18-04,300,596,593,54.77,56.62,68.13,7.68,3,up
GW04,NBH,KV1,2026-08-18-04,188,569,565,59.23,50.61,41.72,5.6,4,up
GW05,HCM,KV3,2026-08-18-04,303,557,547,59.72,48.29,74.86,21.51,10,up
GW06,KHA,KV2,2026-08-18-04,312,448,438,63.82,57.61,61.94,9.56,10,up
GW01,DBN,KV1,2026-08-18-05,248,517,512,68.22,21.74,67.75,8.23,5,up
GW02,SLA,KV1,2026-08-18-05,234,358,346,48.89,58.69,57.95,11.6,12,up
GW03,CMU,KV3,2026-08-18-05,232,370,362,58.13,28.12,39.64,6.19,8,up
GW04,NBH,KV1,2026-08-18-05,231,472,467,58.91,47.3,63.45,22.2,5,up
GW05,HCM,KV3,2026-08-18-05,288,445,431,20.82,32.19,67.81,14.17,14,up
GW06,KHA,KV2,2026-08-18-05,319,441,430,26.22,58.75,71.59,9.48,11,up
GW01,DBN,KV1,2026-08-18-06,154,345,334,54.39,61.33,56.01,24.64,11,up
GW02,SLA,KV1,2026-08-18-06,238,445,441,44.54,60.32,42.56,15.2,4,up
GW03,CMU,KV3,2026-08-18-06,332,462,456,27.56,28.32,57.47,7.38,6,up
GW04,NBH,KV1,2026-08-18-06,291,632,623,34.29,55.82,65.05,22.66,9,up
GW05,HCM,KV3,2026-08-18-06,200,652,639,51.67,53.36,37.06,13.1,13,up
GW06,KHA,KV2,2026-08-18-06,321,489,485,22.21,33.61,56.6,6.82,4,up
GW01,DBN,KV1,2026-08-18-07,321,326,311,35.23,35.01,55.09,20.42,15,up
GW02,SLA,KV1,2026-08-18-07,347,491,480,58.91,45.99,54.1,15.34,11,up
GW03,CMU,KV3,2026-08-18-07,226,653,640,40.58,56.12,48.15,17.28,13,up
GW04,NBH,KV1,2026-08-18-07,268,540,525,51.68,38.94,57.11,15.71,15,up
GW05,HCM,KV3,2026-08-18-07,344,353,340,38.81,23.39,72.05,14.55,13,up
GW06,KHA,KV2,2026-08-18-07,197,692,677,56.02,29.34,41.3,8.72,15,up
GW01,DBN,KV1,2026-08-18-08,224,473,462,61.33,42.22,52.96,24.76,11,up
GW02,SLA,KV1,2026-08-18-08,280,568,556,68.68,57.08,47.56,5.3,12,up
GW03,CMU,KV3,2026-08-18-08,213,393,378,27.28,53.49,46.83,13.41,15,up
GW04,NBH,KV1,2026-08-18-08,170,468,459,35.33,54.63,41.64,21.66,9,up
GW05,HCM,KV3,2026-08-18-08,215,645,632,64.5,53.9,67.66,22.66,13,up
GW06,KHA,KV2,2026-08-18-08,254,485,482,45.03,53.5,40.98,11.7,3,up
GW01,DBN,KV1,2026-08-18-09,176,679,668,27.99,30.74,70.38,13.67,11,up
GW02,SLA,KV1,2026-08-18-09,255,510,506,23.4,37.92,42.51,12.25,4,up
GW03,CMU,KV3,2026-08-18-09,200,526,524,32.39,66.45,60.98,8.08,2,up
GW04,NBH,KV1,2026-08-18-09,280,553,546,44.25,37.18,70.59,23.37,7,up
GW05,HCM,KV3,2026-08-18-09,312,665,652,46.96,57.18,62.62,16.95,13,up
GW06,KHA,KV2,2026-08-18-09,288,364,350,64.73,29.02,36.6,9.61,14,up
GW01,DBN,KV1,2026-08-18-10,268,345,339,69.27,32.48,61.75,9.53,6,up
GW02,SLA,KV1,2026-08-18-10,166,509,498,47.27,28.45,65.2,6.97,11,up
GW03,CMU,KV3,2026-08-18-10,154,481,472,40.99,25.75,52.88,20.24,9,up
GW04,NBH,KV1,2026-08-18-10,265,464,452,35.64,58.93,40.93,13.0,12,up
GW05,HCM,KV3,2026-08-18-10,270,500,487,61.23,54.35,40.48,16.48,13,up
GW06,KHA,KV2,2026-08-18-10,310,499,487,54.61,29.89,49.64,21.44,12,up
GW01,DBN,KV1,2026-08-18-11,196,487,478,65.29,55.79,69.41,12.37,9,up
GW02,SLA,KV1,2026-08-18-11,215,628,624,39.64,29.11,49.34,23.47,4,up
GW03,CMU,KV3,2026-08-18-11,229,411,398,67.55,28.33,49.17,10.03,13,up
GW04,NBH,KV1,2026-08-18-11,164,307,294,52.03,28.67,39.54,19.1,13,up
GW05,HCM,KV3,2026-08-18-11,258,684,681,31.36,45.08,41.35,15.25,3,up
GW06,KHA,KV2,2026-08-18-11,214,676,673,38.68,43.2,55.92,20.11,3,up
GW01,DBN,KV1,2026-08-18-12,319,455,442,27.26,59.27,45.35,24.69,13,up
GW02,SLA,KV1,2026-08-18-12,276,534,524,44.38,33.51,66.12,5.33,10,up
GW03,CMU,KV3,2026-08-18-12,220,500,495,21.34,37.51,69.49,8.88,5,up
GW04,NBH,KV1,2026-08-18-12,247,376,371,48.95,61.05,67.95,10.24,5,up
GW05,HCM,KV3,2026-08-18-12,344,403,395,66.38,33.17,47.37,22.81,8,up
GW06,KHA,KV2,2026-08-18-12,284,544,531,38.99,50.21,56.94,13.98,13,up
GW01,DBN,KV1,2026-08-18-13,254,598,595,60.14,47.63,54.6,5.46,3,up
GW02,SLA,KV1,2026-08-18-13,209,620,611,31.1,52.73,37.22,16.28,9,up
GW03,CMU,KV3,2026-08-18-13,278,380,372,49.81,63.84,47.46,20.8,8,up
GW04,NBH,KV1,2026-08-18-13,348,307,304,56.58,25.49,50.16,19.3,3,up
GW05,HCM,KV3,2026-08-18-13,236,349,343,69.88,25.95,44.63,19.51,6,up
GW06,KHA,KV2,2026-08-18-13,323,383,376,27.45,59.04,66.58,19.13,7,up
GW01,DBN,KV1,2026-08-18-14,315,457,455,51.76,35.07,67.56,14.13,2,up
GW02,SLA,KV1,2026-08-18-14,206,588,577,66.11,25.75,49.73,18.29,11,up
GW03,CMU,KV3,2026-08-18-14,262,411,396,22.66,22.02,71.7,21.33,15,up
GW04,NBH,KV1,2026-08-18-14,328,616,613,55.13,28.91,36.96,10.26,3,up
GW05,HCM,KV3,2026-08-18-14,335,474,472,28.88,54.73,65.97,8.75,2,up
GW06,KHA,KV2,2026-08-18-14,337,561,552,20.97,42.07,67.0,23.37,9,up
GW01,DBN,KV1,2026-08-18-15,187,700,686,26.11,53.3,53.1,9.97,14,up
GW02,SLA,KV1,2026-08-18-15,191,515,512,31.11,39.17,43.31,10.66,3,up
GW03,CMU,KV3,2026-08-18-15,322,308,293,39.54,59.47,66.6,23.21,15,up
GW04,NBH,KV1,2026-08-18-15,290,422,420,63.75,50.84,55.05,18.77,2,up
GW05,HCM,KV3,2026-08-18-15,232,424,415,54.61,40.15,49.16,8.17,9,up
GW06,KHA,KV2,2026-08-18-15,300,598,594,57.18,43.84,51.38,17.81,4,up
GW01,DBN,KV1,2026-08-18-16,169,548,537,28.66,60.19,48.58,24.55,11,up
GW02,SLA,KV1,2026-08-18-16,305,414,405,42.49,59.73,41.95,8.91,9,up
GW03,CMU,KV3,2026-08-18-16,208,469,454,24.78,69.51,73.41,23.51,15,up
GW04,NBH,KV1,2026-08-18-16,227,589,581,42.77,34.34,74.5,16.59,8,up
GW05,HCM,KV3,2026-08-18-16,201,616,609,58.26,63.27,57.09,13.47,7,up
GW06,KHA,KV2,2026-08-18-16,329,430,419,45.93,56.92,58.04,15.41,11,up
GW01,DBN,KV1,2026-08-18-17,330,543,529,68.51,38.32,63.52,12.87,14,up
GW02,SLA,KV1,2026-08-18-17,286,451,437,53.42,43.93,53.01,21.62,14,up
GW03,CMU,KV3,2026-08-18-17,325,503,495,23.76,35.22,51.35,21.12,8,up
GW04,NBH,KV1,2026-08-18-17,319,472,457,58.66,25.63,53.85,12.28,15,up
GW05,HCM,KV3,2026-08-18-17,218,658,650,57.35,53.2,49.79,12.5,8,up
GW06,KHA,KV2,2026-08-18-17,167,362,356,62.82,62.4,36.91,22.31,6,up
GW01,DBN,KV1,2026-08-18-18,249,563,558,25.98,49.49,59.63,24.61,5,up
GW02,SLA,KV1,2026-08-18-18,285,569,555,30.07,24.84,65.88,9.21,14,up
GW03,CMU,KV3,2026-08-18-18,158,544,534,27.45,29.77,51.64,18.55,10,up
GW04,NBH,KV1,2026-08-18-18,272,420,417,28.22,33.89,51.85,18.73,3,up
GW05,HCM,KV3,2026-08-18-18,324,508,500,60.7,34.04,51.78,24.67,8,up
GW06,KHA,KV2,2026-08-18-18,245,400,385,46.59,32.31,55.18,12.38,15,up
GW01,DBN,KV1,2026-08-18-19,307,427,425,61.94,26.22,71.61,9.1,2,up
GW02,SLA,KV1,2026-08-18-19,250,630,623,22.83,66.89,43.18,14.17,7,up
GW03,CMU,KV3,2026-08-18-19,244,618,611,24.63,56.3,48.16,5.19,7,up
GW04,NBH,KV1,2026-08-18-19,211,607,599,49.46,69.62,71.85,15.52,8,up
GW05,HCM,KV3,2026-08-18-19,285,532,526,36.11,66.73,66.2,9.63,6,up
