session_drop_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-SESSION_DROP_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,76.63,index,valid,synthetic_core,181,241,236,31.7
CORE-SESSION_DROP_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,79.78,index,valid,synthetic_core,285,553,547,51.8
CORE-SESSION_DROP_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,20.76,index,valid,synthetic_core,175,368,358,65.74
CORE-SESSION_DROP_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,20.02,index,valid,synthetic_core,143,579,577,48.0
CORE-SESSION_DROP_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,17.76,index,valid,synthetic_core,196,432,427,64.52
CORE-SESSION_DROP_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,53.21,index,valid,synthetic_core,143,292,290,33.66
CORE-SESSION_DROP_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,59.97,index,valid,synthetic_core,175,339,334,49.69
CORE-SESSION_DROP_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,74.98,index,valid,synthetic_core,223,540,529,43.32
CORE-SESSION_DROP_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,43.25,index,valid,synthetic_core,126,228,217,39.93
CORE-SESSION_DROP_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,35.19,index,valid,synthetic_core,219,596,587,58.38
CORE-SESSION_DROP_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,65.4,index,valid,synthetic_core,259,397,385,63.88
CORE-SESSION_DROP_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,38.74,index,valid,synthetic_core,175,421,416,40.23
CORE-SESSION_DROP_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,38.25,index,valid,synthetic_core,297,345,340,26.2
CORE-SESSION_DROP_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,30.07,index,valid,synthetic_core,212,538,526,59.4
CORE-SESSION_DROP_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,67.28,index,valid,synthetic_core,111,536,531,50.75
CORE-SESSION_DROP_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,74.83,index,valid,synthetic_core,192,520,508,28.72
CORE-SESSION_DROP_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,44.24,index,valid,synthetic_core,281,276,270,55.47
CORE-SESSION_DROP_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,62.55,index,valid,synthetic_core,169,565,555,50.19
CORE-SESSION_DROP_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,17.02,index,valid,synthetic_core,278,220,216,48.66
CORE-SESSION_DROP_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,34.45,index,valid,synthetic_core,220,281,278,22.55
CORE-SESSION_DROP_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,67.62,index,valid,synthetic_core,291,589,580,54.94
CORE-SESSION_DROP_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,52.36,index,valid,synthetic_core,268,405,396,34.7
CORE-SESSION_DROP_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,54.98,index,valid,synthetic_core,248,449,440,34.44
CORE-SESSION_DROP_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,77.92,index,valid,synthetic_core,211,546,543,47.13
CORE-SESSION_DROP_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,41.79,index,valid,synthetic_core,143,348,346,49.7
CORE-SESSION_DROP_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,33.46,index,valid,synthetic_core,211,316,305,59.41
CORE-SESSION_DROP_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,58.95,index,valid,synthetic_core,151,233,228,48.75
CORE-SESSION_DROP_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,56.99,index,degraded,synthetic_core,135,497,491,41.41
CORE-SESSION_DROP_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,51.83,index,valid,synthetic_core,286,250,249,33.39
CORE-SESSION_DROP_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,34.9,index,valid,synthetic_core,166,363,362,22.92
CORE-SESSION_DROP_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,65.91,index,valid,synthetic_core,212,442,436,45.11
CORE-SESSION_DROP_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,59.37,index,valid,synthetic_core,265,554,547,65.5
CORE-SESSION_DROP_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,50.94,index,valid,synthetic_core,108,526,523,43.89
CORE-SESSION_DROP_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,42.69,index,valid,synthetic_core,144,269,259,40.65
CORE-SESSION_DROP_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,34.77,index,valid,synthetic_core,140,241,235,31.68
CORE-SESSION_DROP_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,38.24,index,valid,synthetic_core,144,591,582,27.04
CORE-SESSION_DROP_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,31.43,index,valid,synthetic_core,180,525,518,48.67
CORE-SESSION_DROP_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,19.46,index,valid,synthetic_core,219,541,530,42.4
CORE-SESSION_DROP_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,75.2,index,valid,synthetic_core,114,366,356,29.37
CORE-SESSION_DROP_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,47.44,index,valid,synthetic_core,100,344,340,25.38
CORE-SESSION_DROP_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,77.46,index,valid,synthetic_core,203,427,423,61.9
CORE-SESSION_DROP_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,82.91,index,valid,synthetic_core,217,582,576,67.3
CORE-SESSION_DROP_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,31.31,index,valid,synthetic_core,253,490,478,41.63
CORE-SESSION_DROP_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,15.09,index,valid,synthetic_core,159,432,430,23.68
CORE-SESSION_DROP_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,65.37,index,valid,synthetic_core,153,427,418,42.2
CORE-SESSION_DROP_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,23.38,index,valid,synthetic_core,136,282,280,22.06
CORE-SESSION_DROP_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,66.96,index,valid,synthetic_core,271,526,517,35.02
CORE-SESSION_DROP_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,67.92,index,valid,synthetic_core,263,580,568,57.66
CORE-SESSION_DROP_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,55.56,index,valid,synthetic_core,263,561,556,37.21
CORE-SESSION_DROP_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,78.91,index,valid,synthetic_core,292,313,306,67.05
CORE-SESSION_DROP_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,39.36,index,valid,synthetic_core,104,593,582,21.76
CORE-SESSION_DROP_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,71.79,index,valid,synthetic_core,284,480,476,59.22
CORE-SESSION_DROP_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,56.34,index,valid,synthetic_core,225,378,370,66.12
CORE-SESSION_DROP_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,59.54,index,valid,synthetic_core,179,378,369,58.64
CORE-SESSION_DROP_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,53.89,index,valid,synthetic_core,170,261,250,29.13
CORE-SESSION_DROP_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,59.07,index,valid,synthetic_core,142,571,569,30.35
CORE-SESSION_DROP_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,65.88,index,valid,synthetic_core,126,430,427,57.91
