session_setup_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-SESSION_SETUP_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,20.98,index,valid,synthetic_core,172,205,197,29.67
CORE-SESSION_SETUP_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,62.18,index,valid,synthetic_core,290,317,309,40.72
CORE-SESSION_SETUP_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,23.5,index,valid,synthetic_core,254,462,455,30.47
CORE-SESSION_SETUP_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,80.14,index,valid,synthetic_core,180,287,277,67.64
CORE-SESSION_SETUP_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,75.53,index,valid,synthetic_core,290,323,317,64.85
CORE-SESSION_SETUP_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,65.59,index,valid,synthetic_core,194,314,307,46.37
CORE-SESSION_SETUP_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,55.75,index,valid,synthetic_core,242,500,489,66.42
CORE-SESSION_SETUP_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,55.19,index,valid,synthetic_core,114,356,348,60.95
CORE-SESSION_SETUP_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,38.73,index,valid,synthetic_core,293,433,431,35.93
CORE-SESSION_SETUP_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,84.35,index,valid,synthetic_core,256,248,247,63.76
CORE-SESSION_SETUP_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,35.0,index,valid,synthetic_core,256,545,538,22.08
CORE-SESSION_SETUP_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,19.0,index,valid,synthetic_core,226,269,262,43.37
CORE-SESSION_SETUP_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,49.67,index,valid,synthetic_core,261,528,521,60.59
CORE-SESSION_SETUP_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,40.04,index,valid,synthetic_core,199,404,399,59.77
CORE-SESSION_SETUP_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,29.39,index,valid,synthetic_core,231,576,569,32.96
CORE-SESSION_SETUP_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,32.98,index,valid,synthetic_core,113,341,338,29.92
CORE-SESSION_SETUP_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,49.59,index,valid,synthetic_core,143,532,527,63.0
CORE-SESSION_SETUP_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,15.18,index,valid,synthetic_core,104,287,279,54.89
CORE-SESSION_SETUP_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,32.61,index,valid,synthetic_core,210,548,540,55.86
CORE-SESSION_SETUP_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,22.52,index,valid,synthetic_core,101,413,402,50.15
CORE-SESSION_SETUP_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,42.54,index,valid,synthetic_core,257,598,591,40.9
CORE-SESSION_SETUP_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,44.54,index,valid,synthetic_core,242,567,557,65.95
CORE-SESSION_SETUP_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,67.71,index,valid,synthetic_core,217,363,361,29.83
CORE-SESSION_SETUP_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,73.67,index,valid,synthetic_core,110,451,446,63.79
CORE-SESSION_SETUP_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,40.38,index,valid,synthetic_core,160,434,427,43.67
CORE-SESSION_SETUP_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,16.23,index,valid,synthetic_core,145,490,481,30.96
CORE-SESSION_SETUP_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,15.89,index,valid,synthetic_core,229,424,417,29.8
CORE-SESSION_SETUP_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,107.09,index,degraded,synthetic_core,106,432,424,38.97
CORE-SESSION_SETUP_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,29.38,index,valid,synthetic_core,235,320,309,58.98
CORE-SESSION_SETUP_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,81.44,index,valid,synthetic_core,137,376,364,47.28
CORE-SESSION_SETUP_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,27.61,index,valid,synthetic_core,150,517,515,46.42
CORE-SESSION_SETUP_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,83.27,index,valid,synthetic_core,225,395,390,35.13
CORE-SESSION_SETUP_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,36.16,index,valid,synthetic_core,253,361,354,33.86
CORE-SESSION_SETUP_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,58.3,index,valid,synthetic_core,181,311,303,44.0
CORE-SESSION_SETUP_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,34.45,index,valid,synthetic_core,149,356,353,68.63
CORE-SESSION_SETUP_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,72.41,index,valid,synthetic_core,175,225,223,30.76
CORE-SESSION_SETUP_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,16.74,index,valid,synthetic_core,119,307,301,20.2
CORE-SESSION_SETUP_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,43.91,index,valid,synthetic_core,247,575,570,25.65
CORE-SESSION_SETUP_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,75.27,index,valid,synthetic_core,131,418,408,23.16
CORE-SESSION_SETUP_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,43.45,index,valid,synthetic_core,120,283,278,47.75
CORE-SESSION_SETUP_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,37.22,index,valid,synthetic_core,263,233,228,27.1
CORE-SESSION_SETUP_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,82.51,index,valid,synthetic_core,245,596,593,37.46
CORE-SESSION_SETUP_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,84.43,index,valid,synthetic_core,225,363,356,48.55
CORE-SESSION_SETUP_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,75.29,index,valid,synthetic_core,128,570,564,49.25
CORE-SESSION_SETUP_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,71.96,index,valid,synthetic_core,259,377,367,35.81
CORE-SESSION_SETUP_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,18.21,index,valid,synthetic_core,233,465,461,46.42
