slice_usage_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-SLICE_USAGE_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,58.81,index,valid,synthetic_core,264,270,264,21.96
CORE-SLICE_USAGE_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,30.91,index,valid,synthetic_core,123,492,483,60.14
CORE-SLICE_USAGE_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,78.92,index,valid,synthetic_core,228,312,303,60.91
CORE-SLICE_USAGE_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,62.15,index,valid,synthetic_core,120,225,219,49.94
CORE-SLICE_USAGE_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,59.38,index,valid,synthetic_core,207,520,509,49.74
CORE-SLICE_USAGE_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,42.01,index,valid,synthetic_core,230,257,251,41.34
CORE-SLICE_USAGE_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,19.77,index,valid,synthetic_core,146,597,596,36.71
CORE-SLICE_USAGE_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,72.65,index,valid,synthetic_core,149,539,528,50.92
CORE-SLICE_USAGE_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,79.2,index,valid,synthetic_core,267,387,377,47.95
CORE-SLICE_USAGE_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,60.94,index,valid,synthetic_core,133,211,199,25.02
CORE-SLICE_USAGE_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,25.83,index,valid,synthetic_core,244,296,286,54.89
CORE-SLICE_USAGE_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,21.84,index,valid,synthetic_core,156,509,499,22.47
CORE-SLICE_USAGE_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,76.83,index,valid,synthetic_core,235,464,456,32.4
CORE-SLICE_USAGE_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,41.1,index,valid,synthetic_core,113,547,544,54.33
CORE-SLICE_USAGE_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,44.43,index,valid,synthetic_core,126,293,282,41.71
CORE-SLICE_USAGE_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,46.95,index,valid,synthetic_core,143,302,296,28.95
CORE-SLICE_USAGE_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,68.96,index,valid,synthetic_core,257,573,571,37.97
CORE-SLICE_USAGE_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,33.26,index,valid,synthetic_core,153,230,221,56.35
CORE-SLICE_USAGE_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,72.76,index,valid,synthetic_core,264,517,512,44.69
CORE-SLICE_USAGE_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,76.17,index,valid,synthetic_core,274,554,552,47.54
CORE-SLICE_USAGE_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,66.85,index,valid,synthetic_core,191,225,220,54.47
CORE-SLICE_USAGE_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,79.86,index,valid,synthetic_core,147,266,260,31.8
CORE-SLICE_USAGE_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,27.65,index,valid,synthetic_core,179,264,252,58.53
CORE-SLICE_USAGE_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,37.93,index,valid,synthetic_core,258,388,384,43.65
CORE-SLICE_USAGE_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,45.87,index,valid,synthetic_core,299,224,216,31.94
CORE-SLICE_USAGE_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,38.43,index,valid,synthetic_core,296,540,537,34.19
CORE-SLICE_USAGE_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,17.07,index,valid,synthetic_core,108,362,361,61.53
CORE-SLICE_USAGE_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,47.34,index,degraded,synthetic_core,167,595,588,36.44
CORE-SLICE_USAGE_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,82.1,index,valid,synthetic_core,286,511,499,20.7
CORE-SLICE_USAGE_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,26.88,index,valid,synthetic_core,242,367,362,53.29
CORE-SLICE_USAGE_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,77.87,index,valid,synthetic_core,207,239,234,30.89
CORE-SLICE_USAGE_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,16.99,index,valid,synthetic_core,264,464,457,20.31
CORE-SLICE_USAGE_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,82.41,index,valid,synthetic_core,228,483,479,50.45
CORE-SLICE_USAGE_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,49.01,index,valid,synthetic_core,229,436,432,34.12
CORE-SLICE_USAGE_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,52.25,index,valid,synthetic_core,192,396,391,44.86
CORE-SLICE_USAGE_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,17.02,index,valid,synthetic_core,255,261,253,57.73
CORE-SLICE_USAGE_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,48.86,index,valid,synthetic_core,213,506,494,35.52
CORE-SLICE_USAGE_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,65.91,index,valid,synthetic_core,181,482,479,58.11
CORE-SLICE_USAGE_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,52.67,index,valid,synthetic_core,241,453,443,42.54
CORE-SLICE_USAGE_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,23.74,index,valid,synthetic_core,290,223,222,58.34
CORE-SLICE_USAGE_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,35.01,index,valid,synthetic_core,159,206,196,25.05
CORE-SLICE_USAGE_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,73.46,index,valid,synthetic_core,135,544,543,67.03
CORE-SLICE_USAGE_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,53.18,index,valid,synthetic_core,279,486,484,26.19
CORE-SLICE_USAGE_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,44.18,index,valid,synthetic_core,231,389,387,39.35
CORE-SLICE_USAGE_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,83.68,index,valid,synthetic_core,258,459,451,40.08
CORE-SLICE_USAGE_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,22.59,index,valid,synthetic_core,190,244,232,54.58
CORE-SLICE_USAGE_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,56.01,index,valid,synthetic_core,107,389,387,47.84
CORE-SLICE_USAGE_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,63.25,index,valid,synthetic_core,108,308,305,42.62
CORE-SLICE_USAGE_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,59.64,index,valid,synthetic_core,201,206,199,47.11
CORE-SLICE_USAGE_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,78.07,index,valid,synthetic_core,109,435,426,65.96
CORE-SLICE_USAGE_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,48.19,index,valid,synthetic_core,175,294,288,26.83
CORE-SLICE_USAGE_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,49.07,index,valid,synthetic_core,240,458,457,62.48
CORE-SLICE_USAGE_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,35.21,index,valid,synthetic_core,260,307,296,26.44
CORE-SLICE_USAGE_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,76.99,index,valid,synthetic_core,117,220,215,46.09
CORE-SLICE_USAGE_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,49.39,index,valid,synthetic_core,120,323,320,63.47
CORE-SLICE_USAGE_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,80.67,index,valid,synthetic_core,109,448,441,36.94
CORE-SLICE_USAGE_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,16.14,index,valid,synthetic_core,252,459,453,35.39
CORE-SLICE_USAGE_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,64.42,index,valid,synthetic_core,275,301,300,64.52
CORE-SLICE_USAGE_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,24.26,index,valid,synthetic_core,118,541,534,54.58
CORE-SLICE_USAGE_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,47.36,index,valid,synthetic_core,215,531,520,27.68
CORE-SLICE_USAGE_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,67.84,index,valid,synthetic_core,194,549,546,47.64
CORE-SLICE_USAGE_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,79.57,index,valid,synthetic_core,154,599,595,26.88
CORE-SLICE_USAGE_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,28.54,index,valid,synthetic_core,145,556,546,47.33
CORE-SLICE_USAGE_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,46.96,index,valid,synthetic_core,115,546,538,29.99
CORE-SLICE_USAGE_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,84.22,index,valid,synthetic_core,284,469,458,53.82
CORE-SLICE_USAGE_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,51.01,index,valid,synthetic_core,133,505,494,42.84
CORE-SLICE_USAGE_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,20.35,index,valid,synthetic_core,274,545,536,61.9
CORE-SLICE_USAGE_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,79.4,index,valid,synthetic_core,158,415,409,22.79
CORE-SLICE_USAGE_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,64.83,index,valid,synthetic_core,188,284,274,60.35
CORE-SLICE_USAGE_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,23.5,index,valid,synthetic_core,265,473,472,39.86
CORE-SLICE_USAGE_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,15.28,index,valid,synthetic_core,141,350,348,36.32
CORE-SLICE_USAGE_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,50.36,index,valid,synthetic_core,197,294,282,32.87
CORE-SLICE_USAGE_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,36.26,index,valid,synthetic_core,298,383,372,63.74
CORE-SLICE_USAGE_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,65.01,index,valid,synthetic_core,102,318,313,64.46
