subscriber_attach_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-SUBSCRIBER_ATTACH_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,62.03,index,valid,synthetic_core,236,352,341,22.5
CORE-SUBSCRIBER_ATTACH_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,77.36,index,valid,synthetic_core,300,404,401,65.92
CORE-SUBSCRIBER_ATTACH_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,49.38,index,valid,synthetic_core,165,334,325,20.33
CORE-SUBSCRIBER_ATTACH_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,31.56,index,valid,synthetic_core,193,582,570,34.33
CORE-SUBSCRIBER_ATTACH_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,65.15,index,valid,synthetic_core,288,343,334,44.35
CORE-SUBSCRIBER_ATTACH_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,83.85,index,valid,synthetic_core,131,412,409,41.79
CORE-SUBSCRIBER_ATTACH_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,61.66,index,valid,synthetic_core,233,580,569,60.09
CORE-SUBSCRIBER_ATTACH_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,45.01,index,valid,synthetic_core,283,512,502,59.98
CORE-SUBSCRIBER_ATTACH_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,64.99,index,valid,synthetic_core,157,428,425,50.73
CORE-SUBSCRIBER_ATTACH_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,68.54,index,valid,synthetic_core,113,394,393,32.52
CORE-SUBSCRIBER_ATTACH_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,49.99,index,valid,synthetic_core,237,427,425,69.0
CORE-SUBSCRIBER_ATTACH_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,75.94,index,valid,synthetic_core,248,571,562,53.29
CORE-SUBSCRIBER_ATTACH_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,79.63,index,valid,synthetic_core,266,317,308,52.9
CORE-SUBSCRIBER_ATTACH_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,49.13,index,valid,synthetic_core,138,412,409,25.63
CORE-SUBSCRIBER_ATTACH_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,41.18,index,valid,synthetic_core,255,379,368,41.66
CORE-SUBSCRIBER_ATTACH_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,82.98,index,valid,synthetic_core,145,235,224,67.99
CORE-SUBSCRIBER_ATTACH_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,44.01,index,valid,synthetic_core,253,324,312,25.81
