channel_usage_daily_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,tenure_months,interaction_count,satisfaction_score,churn_score
CUSTOMER-CHANNEL_USAGE_DAILY-00-00,CUS0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,42.35,count,valid,synthetic_customer,15,5,5,0.13
CUSTOMER-CHANNEL_USAGE_DAILY-00-24,CUS0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,29.84,count,valid,synthetic_customer,15,2,5,0.09
CUSTOMER-CHANNEL_USAGE_DAILY-00-48,CUS0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,44.34,count,valid,synthetic_customer,15,0,5,0.08
CUSTOMER-CHANNEL_USAGE_DAILY-01-00,CUS0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,17.26,count,valid,synthetic_customer,15,1,5,0.1
CUSTOMER-CHANNEL_USAGE_DAILY-01-24,CUS0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.07,count,valid,synthetic_customer,15,3,5,0.06
CUSTOMER-CHANNEL_USAGE_DAILY-01-48,CUS0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,51.89,count,valid,synthetic_customer,15,3,5,0.19
CUSTOMER-CHANNEL_USAGE_DAILY-02-00,CUS0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,45.09,count,valid,synthetic_customer,15,5,5,0.07
CUSTOMER-CHANNEL_USAGE_DAILY-02-24,CUS0013,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,53.37,count,valid,synthetic_customer,15,4,5,0.06
CUSTOMER-CHANNEL_USAGE_DAILY-02-48,CUS0013,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,21.47,count,valid,synthetic_customer,15,5,5,0.18
CUSTOMER-CHANNEL_USAGE_DAILY-03-00,CUS0019,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,57.21,count,valid,synthetic_customer,15,5,5,0.09
CUSTOMER-CHANNEL_USAGE_DAILY-03-24,CUS0019,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,78.53,count,valid,synthetic_customer,15,0,5,0.14
CUSTOMER-CHANNEL_USAGE_DAILY-03-48,CUS0019,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,58.05,count,valid,synthetic_customer,15,0,5,0.2
CUSTOMER-CHANNEL_USAGE_DAILY-04-00,CUS0025,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,66.03,count,valid,synthetic_customer,15,1,5,0.08
CUSTOMER-CHANNEL_USAGE_DAILY-04-24,CUS0025,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,40.64,count,valid,synthetic_customer,15,4,5,0.05
CUSTOMER-CHANNEL_USAGE_DAILY-04-48,CUS0025,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,69.56,count,valid,synthetic_customer,15,1,5,0.18
CUSTOMER-CHANNEL_USAGE_DAILY-05-00,CUS0026,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,43.76,count,valid,synthetic_customer,15,5,5,0.15
CUSTOMER-CHANNEL_USAGE_DAILY-05-24,CUS0026,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,71.51,count,valid,synthetic_customer,15,1,5,0.07
CUSTOMER-CHANNEL_USAGE_DAILY-05-48,CUS0026,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,44.67,count,valid,synthetic_customer,15,1,5,0.05
