customer_churn_score_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,tenure_months,interaction_count,satisfaction_score,churn_score
CUSTOMER-CUSTOMER_CHURN_SCORE-00-00,CUS0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,36.69,count,valid,synthetic_customer,15,0,5,0.1
CUSTOMER-CUSTOMER_CHURN_SCORE-00-09,CUS0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,46.29,count,valid,synthetic_customer,15,4,5,0.17
CUSTOMER-CUSTOMER_CHURN_SCORE-00-18,CUS0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,60.55,count,valid,synthetic_customer,15,2,5,0.09
CUSTOMER-CUSTOMER_CHURN_SCORE-00-27,CUS0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,101.56,count,degraded,synthetic_customer,15,0,3,0.43
CUSTOMER-CUSTOMER_CHURN_SCORE-00-36,CUS0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,44.19,count,valid,synthetic_customer,15,0,5,0.13
CUSTOMER-CUSTOMER_CHURN_SCORE-00-45,CUS0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,81.26,count,valid,synthetic_customer,15,5,5,0.14
CUSTOMER-CUSTOMER_CHURN_SCORE-00-54,CUS0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,72.7,count,valid,synthetic_customer,15,0,5,0.19
CUSTOMER-CUSTOMER_CHURN_SCORE-00-63,CUS0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,67.46,count,valid,synthetic_customer,15,1,5,0.12
CUSTOMER-CUSTOMER_CHURN_SCORE-01-00,CUS0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,62.72,count,valid,synthetic_customer,15,4,5,0.13
CUSTOMER-CUSTOMER_CHURN_SCORE-01-09,CUS0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,57.25,count,valid,synthetic_customer,15,1,5,0.05
