customer_risk_daily_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,tenure_months,interaction_count,satisfaction_score,churn_score
CUSTOMER-CUSTOMER_RISK_DAILY-00-00,CUS0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,37.67,count,valid,synthetic_customer,15,4,5,0.13
CUSTOMER-CUSTOMER_RISK_DAILY-00-24,CUS0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,64.51,count,valid,synthetic_customer,15,0,5,0.17
CUSTOMER-CUSTOMER_RISK_DAILY-00-48,CUS0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,52.81,count,valid,synthetic_customer,15,5,5,0.16
CUSTOMER-CUSTOMER_RISK_DAILY-01-00,CUS0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,29.54,count,valid,synthetic_customer,15,0,5,0.14
CUSTOMER-CUSTOMER_RISK_DAILY-01-24,CUS0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,19.77,count,valid,synthetic_customer,15,2,5,0.1
CUSTOMER-CUSTOMER_RISK_DAILY-01-48,CUS0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,55.25,count,valid,synthetic_customer,15,1,5,0.13
CUSTOMER-CUSTOMER_RISK_DAILY-02-00,CUS0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,71.47,count,valid,synthetic_customer,15,2,5,0.07
CUSTOMER-CUSTOMER_RISK_DAILY-02-24,CUS0013,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,32.97,count,valid,synthetic_customer,15,1,5,0.11
CUSTOMER-CUSTOMER_RISK_DAILY-02-48,CUS0013,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,74.32,count,valid,synthetic_customer,15,5,5,0.16
CUSTOMER-CUSTOMER_RISK_DAILY-03-00,CUS0019,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,30.62,count,valid,synthetic_customer,15,0,5,0.05
CUSTOMER-CUSTOMER_RISK_DAILY-03-24,CUS0019,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,17.27,count,valid,synthetic_customer,15,1,5,0.07
CUSTOMER-CUSTOMER_RISK_DAILY-03-48,CUS0019,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,54.13,count,valid,synthetic_customer,15,1,5,0.12
CUSTOMER-CUSTOMER_RISK_DAILY-04-00,CUS0025,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,16.11,count,valid,synthetic_customer,15,4,5,0.09
CUSTOMER-CUSTOMER_RISK_DAILY-04-24,CUS0025,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,41.2,count,valid,synthetic_customer,15,1,5,0.12
CUSTOMER-CUSTOMER_RISK_DAILY-04-48,CUS0025,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,75.01,count,valid,synthetic_customer,15,0,5,0.16
CUSTOMER-CUSTOMER_RISK_DAILY-05-00,CUS0026,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,74.29,count,valid,synthetic_customer,15,1,5,0.18
CUSTOMER-CUSTOMER_RISK_DAILY-05-24,CUS0026,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,70.19,count,valid,synthetic_customer,15,2,5,0.17
CUSTOMER-CUSTOMER_RISK_DAILY-05-48,CUS0026,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,54.68,count,valid,synthetic_customer,15,3,5,0.09
