customer_value_daily_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,tenure_months,interaction_count,satisfaction_score,churn_score
CUSTOMER-CUSTOMER_VALUE_DAILY-00-00,CUS0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,78.28,count,valid,synthetic_customer,15,5,5,0.06
CUSTOMER-CUSTOMER_VALUE_DAILY-00-24,CUS0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,35.94,count,valid,synthetic_customer,15,1,5,0.12
CUSTOMER-CUSTOMER_VALUE_DAILY-00-48,CUS0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,26.32,count,valid,synthetic_customer,15,0,5,0.15
CUSTOMER-CUSTOMER_VALUE_DAILY-01-00,CUS0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,51.9,count,valid,synthetic_customer,15,2,5,0.08
CUSTOMER-CUSTOMER_VALUE_DAILY-01-24,CUS0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,84.92,count,valid,synthetic_customer,15,5,5,0.1
CUSTOMER-CUSTOMER_VALUE_DAILY-01-48,CUS0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,81.49,count,valid,synthetic_customer,15,4,5,0.14
CUSTOMER-CUSTOMER_VALUE_DAILY-02-00,CUS0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,70.22,count,valid,synthetic_customer,15,5,5,0.06
CUSTOMER-CUSTOMER_VALUE_DAILY-02-24,CUS0013,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,46.49,count,valid,synthetic_customer,15,2,5,0.06
CUSTOMER-CUSTOMER_VALUE_DAILY-02-48,CUS0013,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,62.98,count,valid,synthetic_customer,15,2,5,0.17
CUSTOMER-CUSTOMER_VALUE_DAILY-03-00,CUS0019,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,47.92,count,valid,synthetic_customer,15,0,5,0.14
CUSTOMER-CUSTOMER_VALUE_DAILY-03-24,CUS0019,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,82.14,count,valid,synthetic_customer,15,0,5,0.12
CUSTOMER-CUSTOMER_VALUE_DAILY-03-48,CUS0019,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,27.48,count,valid,synthetic_customer,15,3,5,0.06
CUSTOMER-CUSTOMER_VALUE_DAILY-04-00,CUS0025,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,62.2,count,valid,synthetic_customer,15,2,5,0.16
CUSTOMER-CUSTOMER_VALUE_DAILY-04-24,CUS0025,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,16.92,count,valid,synthetic_customer,15,0,5,0.18
CUSTOMER-CUSTOMER_VALUE_DAILY-04-48,CUS0025,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,27.68,count,valid,synthetic_customer,15,2,5,0.12
CUSTOMER-CUSTOMER_VALUE_DAILY-05-00,CUS0026,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,43.46,count,valid,synthetic_customer,15,0,5,0.19
CUSTOMER-CUSTOMER_VALUE_DAILY-05-24,CUS0026,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,16.68,count,valid,synthetic_customer,15,5,5,0.17
CUSTOMER-CUSTOMER_VALUE_DAILY-05-48,CUS0026,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,81.49,count,valid,synthetic_customer,15,1,5,0.19
