onboarding_event_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,tenure_months,interaction_count,satisfaction_score,churn_score
CUSTOMER-ONBOARDING_EVENT-00-00,CUS0001,DBN,KV1,active,2026-08-18 00:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,2,5,0.1
CUSTOMER-ONBOARDING_EVENT-00-09,CUS0001,DBN,KV1,active,2026-08-18 09:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,4,5,0.14
CUSTOMER-ONBOARDING_EVENT-00-18,CUS0001,DBN,KV1,active,2026-08-18 18:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,3,5,0.09
CUSTOMER-ONBOARDING_EVENT-00-27,CUS0001,DBN,KV1,degraded,2026-08-19 03:00:00,ONBOARDING_EVENT,major,failed,3600,synthetic_customer,15,3,3,0.36
CUSTOMER-ONBOARDING_EVENT-00-36,CUS0001,DBN,KV1,active,2026-08-19 12:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,2,5,0.16
CUSTOMER-ONBOARDING_EVENT-00-45,CUS0001,DBN,KV1,active,2026-08-19 21:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,1,5,0.17
CUSTOMER-ONBOARDING_EVENT-00-54,CUS0001,DBN,KV1,active,2026-08-20 06:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,4,5,0.09
CUSTOMER-ONBOARDING_EVENT-00-63,CUS0001,DBN,KV1,active,2026-08-20 15:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,1,5,0.19
CUSTOMER-ONBOARDING_EVENT-01-00,CUS0007,SLA,KV1,active,2026-08-18 00:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,4,5,0.08
CUSTOMER-ONBOARDING_EVENT-01-09,CUS0007,SLA,KV1,active,2026-08-18 09:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,5,5,0.09
CUSTOMER-ONBOARDING_EVENT-01-18,CUS0007,SLA,KV1,active,2026-08-18 18:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,3,5,0.07
CUSTOMER-ONBOARDING_EVENT-01-27,CUS0007,SLA,KV1,active,2026-08-19 03:00:00,ONBOARDING_EVENT,info,success,60,synthetic_customer,15,2,5,0.2
