customer_id,province_code,area_code,segment,join_date,status,household_size,preferred_channel,consent_analytics,risk_band,account_manager_id,service_address_zone
CUS0001,DBN,KV1,household,2025-05-01,active,2,app,1,low,TEAM01,DBN-ZONE-1
CUS0002,DBN,KV1,household,2025-05-01,active,3,app,1,low,TEAM01,DBN-ZONE-2
CUS0003,DBN,KV1,household,2025-05-01,active,4,app,1,low,TEAM01,DBN-ZONE-3
CUS0004,DBN,KV1,household,2025-05-01,active,5,app,1,low,TEAM01,DBN-ZONE-4
CUS0005,DBN,KV1,business,2025-05-01,active,6,app,1,low,TEAM01,DBN-ZONE-5
CUS0006,SLA,KV1,household,2025-05-01,active,2,app,1,low,TEAM01,SLA-ZONE-1
CUS0007,SLA,KV1,household,2025-05-01,active,3,app,1,low,TEAM01,SLA-ZONE-2
CUS0008,SLA,KV1,household,2025-05-01,active,4,app,1,low,TEAM01,SLA-ZONE-3
CUS0009,SLA,KV1,household,2025-05-01,active,5,app,1,low,TEAM01,SLA-ZONE-4
CUS0010,SLA,KV1,business,2025-05-01,active,6,app,1,low,TEAM01,SLA-ZONE-5
CUS0011,CMU,KV3,household,2025-05-01,active,2,app,1,low,TEAM01,CMU-ZONE-1
CUS0012,CMU,KV3,household,2025-05-01,active,3,app,1,low,TEAM01,CMU-ZONE-2
CUS0013,CMU,KV3,household,2025-05-01,active,4,app,1,low,TEAM01,CMU-ZONE-3
CUS0014,CMU,KV3,household,2025-05-01,active,5,app,1,low,TEAM01,CMU-ZONE-4
CUS0015,CMU,KV3,business,2025-05-01,active,6,app,1,low,TEAM01,CMU-ZONE-5
CUS0016,NBH,KV1,household,2025-05-01,active,2,app,1,low,TEAM01,NBH-ZONE-1
CUS0017,NBH,KV1,household,2025-05-01,active,3,app,1,low,TEAM01,NBH-ZONE-2
CUS0018,NBH,KV1,household,2025-05-01,active,4,app,1,low,TEAM01,NBH-ZONE-3
CUS0019,NBH,KV1,household,2025-05-01,active,5,app,1,low,TEAM01,NBH-ZONE-4
CUS0020,NBH,KV1,business,2025-05-01,active,6,app,1,low,TEAM01,NBH-ZONE-5
CUS0021,HCM,KV3,household,2025-05-01,active,2,app,1,low,TEAM01,HCM-ZONE-1
CUS0022,HCM,KV3,household,2025-05-01,active,3,app,1,low,TEAM01,HCM-ZONE-2
CUS0023,HCM,KV3,household,2025-05-01,active,4,app,1,low,TEAM01,HCM-ZONE-3
CUS0024,HCM,KV3,household,2025-05-01,active,5,app,1,low,TEAM01,HCM-ZONE-4
CUS0025,HCM,KV3,business,2025-05-01,active,6,app,1,low,TEAM01,HCM-ZONE-5
CUS0026,KHA,KV2,household,2025-05-01,active,2,app,1,low,TEAM01,KHA-ZONE-1
CUS0027,KHA,KV2,household,2025-05-01,active,3,app,1,low,TEAM01,KHA-ZONE-2
CUS0028,KHA,KV2,household,2025-05-01,active,4,app,1,low,TEAM01,KHA-ZONE-3
CUS0029,KHA,KV2,household,2025-05-01,active,5,app,1,low,TEAM01,KHA-ZONE-4
CUS0030,KHA,KV2,business,2025-05-01,active,6,app,1,low,TEAM01,KHA-ZONE-5
