subscriber_status_history_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,tenure_months,interaction_count,satisfaction_score,churn_score
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-00-00,CUS0001,DBN,KV1,active,2026-08-18 00:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,5,5,0.08
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-00-09,CUS0001,DBN,KV1,active,2026-08-18 09:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,0,5,0.08
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-00-18,CUS0001,DBN,KV1,active,2026-08-18 18:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,4,5,0.18
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-00-27,CUS0001,DBN,KV1,degraded,2026-08-19 03:00:00,SUBSCRIBER_STATUS_HISTORY,major,failed,3600,synthetic_customer,15,0,3,0.44
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-00-36,CUS0001,DBN,KV1,active,2026-08-19 12:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.1
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-00-45,CUS0001,DBN,KV1,active,2026-08-19 21:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,4,5,0.19
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-00-54,CUS0001,DBN,KV1,active,2026-08-20 06:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,5,5,0.19
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-00-63,CUS0001,DBN,KV1,active,2026-08-20 15:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.09
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-01-00,CUS0007,SLA,KV1,active,2026-08-18 00:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.07
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-01-09,CUS0007,SLA,KV1,active,2026-08-18 09:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,4,5,0.13
