battery_health_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-BATTERY_HEALTH_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,44.39,index,valid,synthetic_energy,6.22,0,6.22,14306
ENERGY-BATTERY_HEALTH_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,69.15,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-BATTERY_HEALTH_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,16.11,index,valid,synthetic_energy,6.04,0,6.04,13892
ENERGY-BATTERY_HEALTH_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,18.22,index,valid,synthetic_energy,4.56,0,4.56,10488
ENERGY-BATTERY_HEALTH_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,26.3,index,valid,synthetic_energy,3.3,0,3.3,7590
ENERGY-BATTERY_HEALTH_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,55.34,index,valid,synthetic_energy,6.97,0,6.97,16031
ENERGY-BATTERY_HEALTH_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,67.21,index,valid,synthetic_energy,7.36,0,7.36,16928
ENERGY-BATTERY_HEALTH_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,45.27,index,valid,synthetic_energy,4.54,0,4.54,10442
ENERGY-BATTERY_HEALTH_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,36.97,index,valid,synthetic_energy,3.32,0,3.32,7636
ENERGY-BATTERY_HEALTH_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,28.62,index,valid,synthetic_energy,7.53,0,7.53,17319
ENERGY-BATTERY_HEALTH_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,23.12,index,valid,synthetic_energy,5.02,0,5.02,11546
ENERGY-BATTERY_HEALTH_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,57.08,index,valid,synthetic_energy,3.61,0,3.61,8303
ENERGY-BATTERY_HEALTH_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,35.0,index,valid,synthetic_energy,6.5,0,6.5,14950
ENERGY-BATTERY_HEALTH_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,38.48,index,valid,synthetic_energy,4.31,0,4.31,9913
ENERGY-BATTERY_HEALTH_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,33.16,index,valid,synthetic_energy,4.03,0,4.03,9269
ENERGY-BATTERY_HEALTH_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,82.05,index,valid,synthetic_energy,4.42,0,4.42,10166
ENERGY-BATTERY_HEALTH_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,74.9,index,valid,synthetic_energy,5.15,0,5.15,11845
ENERGY-BATTERY_HEALTH_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,43.24,index,valid,synthetic_energy,6.95,0,6.95,15985
