battery_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-BATTERY_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,79.78,index,valid,synthetic_energy,7.31,0,7.31,16813
ENERGY-BATTERY_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,35.28,index,valid,synthetic_energy,6.49,0,6.49,14927
ENERGY-BATTERY_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,51.31,index,valid,synthetic_energy,5.18,0,5.18,11914
ENERGY-BATTERY_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,49.66,index,valid,synthetic_energy,3.77,0,3.77,8671
ENERGY-BATTERY_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,20.15,index,valid,synthetic_energy,6.4,0,6.4,14720
ENERGY-BATTERY_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,21.94,index,valid,synthetic_energy,7.49,0,7.49,17227
ENERGY-BATTERY_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,57.39,index,valid,synthetic_energy,4.59,0,4.59,10557
ENERGY-BATTERY_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,67.71,index,valid,synthetic_energy,6.91,0,6.91,15893
ENERGY-BATTERY_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,51.58,index,valid,synthetic_energy,3.77,0,3.77,8671
ENERGY-BATTERY_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,21.46,index,valid,synthetic_energy,4.22,0,4.22,9706
ENERGY-BATTERY_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,68.54,index,valid,synthetic_energy,5.97,0,5.97,13731
ENERGY-BATTERY_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,34.01,index,valid,synthetic_energy,5.67,0,5.67,13041
ENERGY-BATTERY_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,24.77,index,valid,synthetic_energy,6.22,0,6.22,14306
ENERGY-BATTERY_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,39.11,index,valid,synthetic_energy,5.54,0,5.54,12742
ENERGY-BATTERY_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,71.29,index,valid,synthetic_energy,6.92,0,6.92,15916
ENERGY-BATTERY_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,59.13,index,valid,synthetic_energy,5.89,0,5.89,13547
ENERGY-BATTERY_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,81.75,index,valid,synthetic_energy,6.88,0,6.88,15824
ENERGY-BATTERY_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,30.81,index,valid,synthetic_energy,3.05,0,3.05,7015
ENERGY-BATTERY_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,61.38,index,valid,synthetic_energy,3.35,0,3.35,7705
ENERGY-BATTERY_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,32.59,index,valid,synthetic_energy,3.76,0,3.76,8648
ENERGY-BATTERY_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,74.91,index,valid,synthetic_energy,7.12,0,7.12,16376
