cooling_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-COOLING_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,36.45,index,valid,synthetic_energy,6.5,0,6.5,14950
ENERGY-COOLING_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,22.72,index,valid,synthetic_energy,7.76,0,7.76,17848
ENERGY-COOLING_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,48.23,index,valid,synthetic_energy,4.37,0,4.37,10051
ENERGY-COOLING_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,18.85,index,valid,synthetic_energy,5.77,0,5.77,13271
ENERGY-COOLING_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,16.99,index,valid,synthetic_energy,7.33,0,7.33,16859
ENERGY-COOLING_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,39.15,index,valid,synthetic_energy,3.42,0,3.42,7866
ENERGY-COOLING_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,20.02,index,valid,synthetic_energy,4.67,0,4.67,10741
ENERGY-COOLING_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,31.32,index,valid,synthetic_energy,5.98,0,5.98,13754
ENERGY-COOLING_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,46.55,index,valid,synthetic_energy,7.37,0,7.37,16951
ENERGY-COOLING_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,48.04,index,valid,synthetic_energy,7.69,0,7.69,17687
ENERGY-COOLING_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,68.35,index,valid,synthetic_energy,5.53,0,5.53,12719
ENERGY-COOLING_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,67.85,index,valid,synthetic_energy,7.7,0,7.7,17710
ENERGY-COOLING_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,81.3,index,valid,synthetic_energy,5.58,0,5.58,12834
ENERGY-COOLING_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,53.18,index,valid,synthetic_energy,6.44,0,6.44,14812
ENERGY-COOLING_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,21.27,index,valid,synthetic_energy,7.69,0,7.69,17687
ENERGY-COOLING_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,66.38,index,valid,synthetic_energy,6.02,0,6.02,13846
ENERGY-COOLING_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,30.8,index,valid,synthetic_energy,6.04,0,6.04,13892
ENERGY-COOLING_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,59.27,index,valid,synthetic_energy,4.4,0,4.4,10120
ENERGY-COOLING_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,48.73,index,valid,synthetic_energy,6.24,0,6.24,14352
ENERGY-COOLING_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,75.66,index,valid,synthetic_energy,6.44,0,6.44,14812
ENERGY-COOLING_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,15.12,index,valid,synthetic_energy,4.28,0,4.28,9844
ENERGY-COOLING_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,64.39,index,valid,synthetic_energy,6.4,0,6.4,14720
ENERGY-COOLING_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,50.94,index,valid,synthetic_energy,3.61,0,3.61,8303
ENERGY-COOLING_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,51.57,index,valid,synthetic_energy,7.2,0,7.2,16560
ENERGY-COOLING_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.71,index,valid,synthetic_energy,7.56,0,7.56,17388
ENERGY-COOLING_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,32.82,index,valid,synthetic_energy,5.53,0,5.53,12719
ENERGY-COOLING_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,26.93,index,valid,synthetic_energy,7.03,0,7.03,16169
ENERGY-COOLING_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,90.23,index,degraded,synthetic_energy,7.01,2,9.01,24123
ENERGY-COOLING_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,20.68,index,valid,synthetic_energy,7.13,0,7.13,16399
ENERGY-COOLING_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,72.16,index,valid,synthetic_energy,7.3,0,7.3,16790
ENERGY-COOLING_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,38.69,index,valid,synthetic_energy,6.11,0,6.11,14053
ENERGY-COOLING_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,39.76,index,valid,synthetic_energy,4.89,0,4.89,11247
ENERGY-COOLING_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,34.77,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-COOLING_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,68.04,index,valid,synthetic_energy,4.35,0,4.35,10005
ENERGY-COOLING_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,36.51,index,valid,synthetic_energy,7.62,0,7.62,17526
ENERGY-COOLING_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,68.94,index,valid,synthetic_energy,4.99,0,4.99,11477
ENERGY-COOLING_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,49.68,index,valid,synthetic_energy,5.58,0,5.58,12834
ENERGY-COOLING_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,38.5,index,valid,synthetic_energy,4.33,0,4.33,9959
ENERGY-COOLING_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,76.41,index,valid,synthetic_energy,7.94,0,7.94,18262
