energy_anomaly_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-ENERGY_ANOMALY_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,49.21,index,valid,synthetic_energy,6.66,0,6.66,15318
ENERGY-ENERGY_ANOMALY_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,69.0,index,valid,synthetic_energy,7.75,0,7.75,17825
ENERGY-ENERGY_ANOMALY_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,45.71,index,valid,synthetic_energy,4.05,0,4.05,9315
ENERGY-ENERGY_ANOMALY_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,43.15,index,valid,synthetic_energy,4.6,0,4.6,10580
ENERGY-ENERGY_ANOMALY_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,83.51,index,valid,synthetic_energy,6.53,0,6.53,15019
ENERGY-ENERGY_ANOMALY_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,84.32,index,valid,synthetic_energy,7.46,0,7.46,17158
ENERGY-ENERGY_ANOMALY_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,57.68,index,valid,synthetic_energy,3.45,0,3.45,7935
ENERGY-ENERGY_ANOMALY_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,67.46,index,valid,synthetic_energy,4.67,0,4.67,10741
ENERGY-ENERGY_ANOMALY_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,49.06,index,valid,synthetic_energy,4.39,0,4.39,10097
ENERGY-ENERGY_ANOMALY_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,35.48,index,valid,synthetic_energy,6.38,0,6.38,14674
ENERGY-ENERGY_ANOMALY_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,57.45,index,valid,synthetic_energy,6.63,0,6.63,15249
ENERGY-ENERGY_ANOMALY_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,54.89,index,valid,synthetic_energy,4.38,0,4.38,10074
ENERGY-ENERGY_ANOMALY_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,48.38,index,valid,synthetic_energy,7.28,0,7.28,16744
ENERGY-ENERGY_ANOMALY_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,46.81,index,valid,synthetic_energy,7.88,0,7.88,18124
ENERGY-ENERGY_ANOMALY_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,47.87,index,valid,synthetic_energy,7.21,0,7.21,16583
ENERGY-ENERGY_ANOMALY_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,70.76,index,valid,synthetic_energy,4.57,0,4.57,10511
ENERGY-ENERGY_ANOMALY_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,66.08,index,valid,synthetic_energy,6.11,0,6.11,14053
ENERGY-ENERGY_ANOMALY_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,66.66,index,valid,synthetic_energy,7.25,0,7.25,16675
ENERGY-ENERGY_ANOMALY_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,81.26,index,valid,synthetic_energy,3.73,0,3.73,8579
ENERGY-ENERGY_ANOMALY_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,52.81,index,valid,synthetic_energy,6.09,0,6.09,14007
ENERGY-ENERGY_ANOMALY_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,60.05,index,valid,synthetic_energy,5.3,0,5.3,12190
ENERGY-ENERGY_ANOMALY_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,71.77,index,valid,synthetic_energy,4.94,0,4.94,11362
ENERGY-ENERGY_ANOMALY_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,32.28,index,valid,synthetic_energy,4.49,0,4.49,10327
ENERGY-ENERGY_ANOMALY_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,44.29,index,valid,synthetic_energy,3.59,0,3.59,8257
ENERGY-ENERGY_ANOMALY_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,17.53,index,valid,synthetic_energy,3.3,0,3.3,7590
ENERGY-ENERGY_ANOMALY_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,69.04,index,valid,synthetic_energy,7.92,0,7.92,18216
ENERGY-ENERGY_ANOMALY_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,27.04,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-ENERGY_ANOMALY_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,24.42,index,degraded,synthetic_energy,4.85,2,6.85,19155
ENERGY-ENERGY_ANOMALY_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,16.34,index,valid,synthetic_energy,5.63,0,5.63,12949
ENERGY-ENERGY_ANOMALY_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,38.72,index,valid,synthetic_energy,6.7,0,6.7,15410
ENERGY-ENERGY_ANOMALY_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,44.51,index,valid,synthetic_energy,4.87,0,4.87,11201
ENERGY-ENERGY_ANOMALY_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,61.83,index,valid,synthetic_energy,3.38,0,3.38,7774
ENERGY-ENERGY_ANOMALY_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,80.89,index,valid,synthetic_energy,7.01,0,7.01,16123
ENERGY-ENERGY_ANOMALY_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,48.85,index,valid,synthetic_energy,5.68,0,5.68,13064
ENERGY-ENERGY_ANOMALY_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,21.62,index,valid,synthetic_energy,3.55,0,3.55,8165
ENERGY-ENERGY_ANOMALY_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,33.61,index,valid,synthetic_energy,3.56,0,3.56,8188
ENERGY-ENERGY_ANOMALY_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,67.29,index,valid,synthetic_energy,6.72,0,6.72,15456
ENERGY-ENERGY_ANOMALY_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,19.19,index,valid,synthetic_energy,6.96,0,6.96,16008
ENERGY-ENERGY_ANOMALY_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,75.91,index,valid,synthetic_energy,4.14,0,4.14,9522
ENERGY-ENERGY_ANOMALY_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,57.65,index,valid,synthetic_energy,6.85,0,6.85,15755
ENERGY-ENERGY_ANOMALY_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,52.1,index,valid,synthetic_energy,5.54,0,5.54,12742
ENERGY-ENERGY_ANOMALY_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,36.18,index,valid,synthetic_energy,4.39,0,4.39,10097
ENERGY-ENERGY_ANOMALY_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,60.23,index,valid,synthetic_energy,5.08,0,5.08,11684
ENERGY-ENERGY_ANOMALY_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,81.04,index,valid,synthetic_energy,3.11,0,3.11,7153
ENERGY-ENERGY_ANOMALY_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,60.93,index,valid,synthetic_energy,4.91,0,4.91,11293
ENERGY-ENERGY_ANOMALY_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,25.16,index,valid,synthetic_energy,6.65,0,6.65,15295
