generator_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-GENERATOR_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,58.51,index,valid,synthetic_energy,6.82,0,6.82,15686
ENERGY-GENERATOR_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,23.59,index,valid,synthetic_energy,7.55,0,7.55,17365
ENERGY-GENERATOR_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,43.58,index,valid,synthetic_energy,4.77,0,4.77,10971
ENERGY-GENERATOR_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,17.37,index,valid,synthetic_energy,4.21,0,4.21,9683
ENERGY-GENERATOR_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,42.67,index,valid,synthetic_energy,7.11,0,7.11,16353
ENERGY-GENERATOR_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,16.14,index,valid,synthetic_energy,3.09,0,3.09,7107
ENERGY-GENERATOR_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,25.42,index,valid,synthetic_energy,4.26,0,4.26,9798
ENERGY-GENERATOR_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,76.81,index,valid,synthetic_energy,6.75,0,6.75,15525
ENERGY-GENERATOR_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,69.31,index,valid,synthetic_energy,6.66,0,6.66,15318
ENERGY-GENERATOR_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,68.39,index,valid,synthetic_energy,7.76,0,7.76,17848
ENERGY-GENERATOR_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,60.79,index,valid,synthetic_energy,3.33,0,3.33,7659
ENERGY-GENERATOR_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,44.59,index,valid,synthetic_energy,6.63,0,6.63,15249
ENERGY-GENERATOR_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,54.1,index,valid,synthetic_energy,5.92,0,5.92,13616
ENERGY-GENERATOR_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,76.94,index,valid,synthetic_energy,3.49,0,3.49,8027
ENERGY-GENERATOR_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,31.72,index,valid,synthetic_energy,6.09,0,6.09,14007
ENERGY-GENERATOR_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,44.98,index,valid,synthetic_energy,3.11,0,3.11,7153
ENERGY-GENERATOR_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,31.17,index,valid,synthetic_energy,5.45,0,5.45,12535
ENERGY-GENERATOR_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,27.27,index,valid,synthetic_energy,5.67,0,5.67,13041
ENERGY-GENERATOR_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,59.5,index,valid,synthetic_energy,7.76,0,7.76,17848
ENERGY-GENERATOR_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,32.19,index,valid,synthetic_energy,4.03,0,4.03,9269
ENERGY-GENERATOR_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,21.4,index,valid,synthetic_energy,3.18,0,3.18,7314
