grid_supply_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-GRID_SUPPLY_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,39.66,index,valid,synthetic_energy,3.94,0,3.94,9062
ENERGY-GRID_SUPPLY_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,52.82,index,valid,synthetic_energy,3.75,0,3.75,8625
ENERGY-GRID_SUPPLY_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,64.42,index,valid,synthetic_energy,6.49,0,6.49,14927
ENERGY-GRID_SUPPLY_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,37.15,index,valid,synthetic_energy,4.54,0,4.54,10442
ENERGY-GRID_SUPPLY_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,58.14,index,valid,synthetic_energy,6.72,0,6.72,15456
ENERGY-GRID_SUPPLY_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,71.59,index,valid,synthetic_energy,4.44,0,4.44,10212
ENERGY-GRID_SUPPLY_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,32.36,index,valid,synthetic_energy,5.89,0,5.89,13547
ENERGY-GRID_SUPPLY_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,39.38,index,valid,synthetic_energy,3.57,0,3.57,8211
ENERGY-GRID_SUPPLY_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,76.55,index,valid,synthetic_energy,3.39,0,3.39,7797
ENERGY-GRID_SUPPLY_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,73.92,index,valid,synthetic_energy,7.49,0,7.49,17227
ENERGY-GRID_SUPPLY_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,47.17,index,valid,synthetic_energy,5.95,0,5.95,13685
ENERGY-GRID_SUPPLY_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,82.05,index,valid,synthetic_energy,5.34,0,5.34,12282
ENERGY-GRID_SUPPLY_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,49.33,index,valid,synthetic_energy,4.11,0,4.11,9453
ENERGY-GRID_SUPPLY_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,56.96,index,valid,synthetic_energy,4.99,0,4.99,11477
ENERGY-GRID_SUPPLY_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,27.4,index,valid,synthetic_energy,4.66,0,4.66,10718
ENERGY-GRID_SUPPLY_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,56.16,index,valid,synthetic_energy,7.95,0,7.95,18285
ENERGY-GRID_SUPPLY_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,57.52,index,valid,synthetic_energy,7.58,0,7.58,17434
ENERGY-GRID_SUPPLY_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,18.21,index,valid,synthetic_energy,6.16,0,6.16,14168
ENERGY-GRID_SUPPLY_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,55.63,index,valid,synthetic_energy,7.74,0,7.74,17802
ENERGY-GRID_SUPPLY_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,26.44,index,valid,synthetic_energy,3.75,0,3.75,8625
ENERGY-GRID_SUPPLY_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,55.89,index,valid,synthetic_energy,7.51,0,7.51,17273
ENERGY-GRID_SUPPLY_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,45.89,index,valid,synthetic_energy,6.29,0,6.29,14467
ENERGY-GRID_SUPPLY_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,57.55,index,valid,synthetic_energy,5.08,0,5.08,11684
ENERGY-GRID_SUPPLY_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,72.51,index,valid,synthetic_energy,4.77,0,4.77,10971
ENERGY-GRID_SUPPLY_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,32.48,index,valid,synthetic_energy,6.15,0,6.15,14145
ENERGY-GRID_SUPPLY_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,81.53,index,valid,synthetic_energy,4.18,0,4.18,9614
ENERGY-GRID_SUPPLY_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,56.78,index,valid,synthetic_energy,3.63,0,3.63,8349
ENERGY-GRID_SUPPLY_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,24.2,index,degraded,synthetic_energy,4.45,2,6.45,18235
ENERGY-GRID_SUPPLY_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,60.09,index,valid,synthetic_energy,6.61,0,6.61,15203
ENERGY-GRID_SUPPLY_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,70.59,index,valid,synthetic_energy,7.83,0,7.83,18009
ENERGY-GRID_SUPPLY_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,36.45,index,valid,synthetic_energy,7.23,0,7.23,16629
ENERGY-GRID_SUPPLY_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,80.35,index,valid,synthetic_energy,3.44,0,3.44,7912
ENERGY-GRID_SUPPLY_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,34.33,index,valid,synthetic_energy,5.74,0,5.74,13202
ENERGY-GRID_SUPPLY_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,19.3,index,valid,synthetic_energy,4.6,0,4.6,10580
ENERGY-GRID_SUPPLY_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,24.37,index,valid,synthetic_energy,7.13,0,7.13,16399
ENERGY-GRID_SUPPLY_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,46.65,index,valid,synthetic_energy,7.61,0,7.61,17503
ENERGY-GRID_SUPPLY_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,18.75,index,valid,synthetic_energy,6.33,0,6.33,14559
ENERGY-GRID_SUPPLY_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,26.65,index,valid,synthetic_energy,7.6,0,7.6,17480
ENERGY-GRID_SUPPLY_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,54.79,index,valid,synthetic_energy,4.96,0,4.96,11408
ENERGY-GRID_SUPPLY_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,35.22,index,valid,synthetic_energy,3.47,0,3.47,7981
ENERGY-GRID_SUPPLY_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,56.04,index,valid,synthetic_energy,5.27,0,5.27,12121
ENERGY-GRID_SUPPLY_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,82.15,index,valid,synthetic_energy,4.91,0,4.91,11293
ENERGY-GRID_SUPPLY_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,52.85,index,valid,synthetic_energy,5.77,0,5.77,13271
ENERGY-GRID_SUPPLY_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,68.85,index,valid,synthetic_energy,6.93,0,6.93,15939
ENERGY-GRID_SUPPLY_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,51.58,index,valid,synthetic_energy,5.1,0,5.1,11730
ENERGY-GRID_SUPPLY_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,52.6,index,valid,synthetic_energy,6.2,0,6.2,14260
ENERGY-GRID_SUPPLY_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,48.53,index,valid,synthetic_energy,5.73,0,5.73,13179
ENERGY-GRID_SUPPLY_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,32.09,index,valid,synthetic_energy,7.46,0,7.46,17158
ENERGY-GRID_SUPPLY_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,36.55,index,valid,synthetic_energy,4.12,0,4.12,9476
ENERGY-GRID_SUPPLY_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,24.63,index,valid,synthetic_energy,4.93,0,4.93,11339
ENERGY-GRID_SUPPLY_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,75.9,index,valid,synthetic_energy,4.61,0,4.61,10603
ENERGY-GRID_SUPPLY_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,46.47,index,valid,synthetic_energy,4.82,0,4.82,11086
ENERGY-GRID_SUPPLY_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,71.69,index,valid,synthetic_energy,3.32,0,3.32,7636
ENERGY-GRID_SUPPLY_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,27.06,index,valid,synthetic_energy,6.95,0,6.95,15985
ENERGY-GRID_SUPPLY_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,35.62,index,valid,synthetic_energy,3.2,0,3.2,7360
ENERGY-GRID_SUPPLY_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,36.8,index,valid,synthetic_energy,7.34,0,7.34,16882
ENERGY-GRID_SUPPLY_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,57.68,index,valid,synthetic_energy,7.51,0,7.51,17273
ENERGY-GRID_SUPPLY_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,39.84,index,valid,synthetic_energy,4.51,0,4.51,10373
ENERGY-GRID_SUPPLY_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,22.3,index,valid,synthetic_energy,6.62,0,6.62,15226
ENERGY-GRID_SUPPLY_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,38.65,index,valid,synthetic_energy,5.25,0,5.25,12075
ENERGY-GRID_SUPPLY_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,70.15,index,valid,synthetic_energy,5.72,0,5.72,13156
ENERGY-GRID_SUPPLY_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,73.02,index,valid,synthetic_energy,7.01,0,7.01,16123
ENERGY-GRID_SUPPLY_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,50.81,index,valid,synthetic_energy,6.85,0,6.85,15755
ENERGY-GRID_SUPPLY_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,29.61,index,valid,synthetic_energy,6.81,0,6.81,15663
ENERGY-GRID_SUPPLY_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,84.34,index,valid,synthetic_energy,5.15,0,5.15,11845
ENERGY-GRID_SUPPLY_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,48.84,index,valid,synthetic_energy,4.06,0,4.06,9338
ENERGY-GRID_SUPPLY_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,18.79,index,valid,synthetic_energy,4.41,0,4.41,10143
