load_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-LOAD_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,68.15,index,valid,synthetic_energy,7.34,0,7.34,16882
ENERGY-LOAD_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,64.51,index,valid,synthetic_energy,4.36,0,4.36,10028
ENERGY-LOAD_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,75.0,index,valid,synthetic_energy,4.35,0,4.35,10005
ENERGY-LOAD_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,35.58,index,valid,synthetic_energy,4.16,0,4.16,9568
ENERGY-LOAD_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,25.6,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-LOAD_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,22.8,index,valid,synthetic_energy,6.27,0,6.27,14421
ENERGY-LOAD_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,33.59,index,valid,synthetic_energy,7.68,0,7.68,17664
ENERGY-LOAD_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,47.64,index,valid,synthetic_energy,5.83,0,5.83,13409
ENERGY-LOAD_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,56.61,index,valid,synthetic_energy,5.74,0,5.74,13202
ENERGY-LOAD_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,46.98,index,valid,synthetic_energy,4.17,0,4.17,9591
ENERGY-LOAD_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,31.17,index,valid,synthetic_energy,5.11,0,5.11,11753
ENERGY-LOAD_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,69.51,index,valid,synthetic_energy,5.53,0,5.53,12719
ENERGY-LOAD_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,76.9,index,valid,synthetic_energy,7.12,0,7.12,16376
ENERGY-LOAD_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,15.1,index,valid,synthetic_energy,3.18,0,3.18,7314
ENERGY-LOAD_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,36.61,index,valid,synthetic_energy,4.65,0,4.65,10695
ENERGY-LOAD_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,42.99,index,valid,synthetic_energy,7.94,0,7.94,18262
ENERGY-LOAD_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,17.12,index,valid,synthetic_energy,7.77,0,7.77,17871
ENERGY-LOAD_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,50.97,index,valid,synthetic_energy,5.95,0,5.95,13685
ENERGY-LOAD_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,40.47,index,valid,synthetic_energy,6.4,0,6.4,14720
ENERGY-LOAD_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,78.72,index,valid,synthetic_energy,5.76,0,5.76,13248
ENERGY-LOAD_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,57.74,index,valid,synthetic_energy,4.18,0,4.18,9614
ENERGY-LOAD_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,71.49,index,valid,synthetic_energy,4.82,0,4.82,11086
ENERGY-LOAD_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,30.63,index,valid,synthetic_energy,4.05,0,4.05,9315
ENERGY-LOAD_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,22.82,index,valid,synthetic_energy,4.87,0,4.87,11201
ENERGY-LOAD_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,22.06,index,valid,synthetic_energy,6.03,0,6.03,13869
ENERGY-LOAD_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,26.81,index,valid,synthetic_energy,5.77,0,5.77,13271
ENERGY-LOAD_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,28.07,index,valid,synthetic_energy,3.27,0,3.27,7521
ENERGY-LOAD_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,28.6,index,degraded,synthetic_energy,6.93,2,8.93,23939
ENERGY-LOAD_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,69.33,index,valid,synthetic_energy,7.82,0,7.82,17986
ENERGY-LOAD_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,71.02,index,valid,synthetic_energy,6.22,0,6.22,14306
ENERGY-LOAD_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,60.75,index,valid,synthetic_energy,7.86,0,7.86,18078
ENERGY-LOAD_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,65.6,index,valid,synthetic_energy,5.43,0,5.43,12489
ENERGY-LOAD_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,78.32,index,valid,synthetic_energy,7.11,0,7.11,16353
ENERGY-LOAD_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,78.98,index,valid,synthetic_energy,6.55,0,6.55,15065
ENERGY-LOAD_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,78.22,index,valid,synthetic_energy,4.43,0,4.43,10189
ENERGY-LOAD_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,75.09,index,valid,synthetic_energy,6.11,0,6.11,14053
ENERGY-LOAD_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,84.58,index,valid,synthetic_energy,5.64,0,5.64,12972
ENERGY-LOAD_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,58.92,index,valid,synthetic_energy,7.45,0,7.45,17135
ENERGY-LOAD_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,30.44,index,valid,synthetic_energy,6.19,0,6.19,14237
ENERGY-LOAD_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,19.66,index,valid,synthetic_energy,5.87,0,5.87,13501
ENERGY-LOAD_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,26.4,index,valid,synthetic_energy,6.46,0,6.46,14858
ENERGY-LOAD_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,29.79,index,valid,synthetic_energy,6.41,0,6.41,14743
ENERGY-LOAD_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,28.74,index,valid,synthetic_energy,3.46,0,3.46,7958
