meter_reading_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-METER_READING_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,30.01,index,valid,synthetic_energy,5.22,0,5.22,12006
ENERGY-METER_READING_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,49.23,index,valid,synthetic_energy,5.38,0,5.38,12374
ENERGY-METER_READING_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,30.65,index,valid,synthetic_energy,7.51,0,7.51,17273
ENERGY-METER_READING_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,24.57,index,valid,synthetic_energy,5.27,0,5.27,12121
ENERGY-METER_READING_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.82,index,valid,synthetic_energy,3.72,0,3.72,8556
ENERGY-METER_READING_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,56.49,index,valid,synthetic_energy,5.26,0,5.26,12098
ENERGY-METER_READING_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,64.62,index,valid,synthetic_energy,3.28,0,3.28,7544
ENERGY-METER_READING_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,28.37,index,valid,synthetic_energy,6.29,0,6.29,14467
ENERGY-METER_READING_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,43.16,index,valid,synthetic_energy,3.08,0,3.08,7084
ENERGY-METER_READING_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,29.49,index,valid,synthetic_energy,7.12,0,7.12,16376
ENERGY-METER_READING_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,84.01,index,valid,synthetic_energy,6.69,0,6.69,15387
ENERGY-METER_READING_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,66.4,index,valid,synthetic_energy,5.79,0,5.79,13317
ENERGY-METER_READING_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,79.71,index,valid,synthetic_energy,3.41,0,3.41,7843
ENERGY-METER_READING_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,77.44,index,valid,synthetic_energy,3.79,0,3.79,8717
ENERGY-METER_READING_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,53.44,index,valid,synthetic_energy,7.4,0,7.4,17020
ENERGY-METER_READING_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,72.68,index,valid,synthetic_energy,4.48,0,4.48,10304
ENERGY-METER_READING_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,19.42,index,valid,synthetic_energy,5.59,0,5.59,12857
ENERGY-METER_READING_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,41.17,index,valid,synthetic_energy,7.42,0,7.42,17066
ENERGY-METER_READING_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,80.84,index,valid,synthetic_energy,5.24,0,5.24,12052
ENERGY-METER_READING_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,67.31,index,valid,synthetic_energy,5.17,0,5.17,11891
ENERGY-METER_READING_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,70.04,index,valid,synthetic_energy,7.35,0,7.35,16905
ENERGY-METER_READING_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,40.94,index,valid,synthetic_energy,5.83,0,5.83,13409
ENERGY-METER_READING_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,25.13,index,valid,synthetic_energy,3.44,0,3.44,7912
ENERGY-METER_READING_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,36.67,index,valid,synthetic_energy,7.97,0,7.97,18331
ENERGY-METER_READING_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,63.78,index,valid,synthetic_energy,3.78,0,3.78,8694
ENERGY-METER_READING_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,33.86,index,valid,synthetic_energy,3.89,0,3.89,8947
ENERGY-METER_READING_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,36.08,index,valid,synthetic_energy,7.97,0,7.97,18331
ENERGY-METER_READING_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,28.08,index,degraded,synthetic_energy,4.6,2,6.6,18580
ENERGY-METER_READING_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,29.77,index,valid,synthetic_energy,5.89,0,5.89,13547
ENERGY-METER_READING_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,50.82,index,valid,synthetic_energy,4.78,0,4.78,10994
ENERGY-METER_READING_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,66.38,index,valid,synthetic_energy,3.14,0,3.14,7222
ENERGY-METER_READING_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,58.4,index,valid,synthetic_energy,3.31,0,3.31,7613
ENERGY-METER_READING_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,84.33,index,valid,synthetic_energy,6.84,0,6.84,15732
ENERGY-METER_READING_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,57.95,index,valid,synthetic_energy,6.8,0,6.8,15640
ENERGY-METER_READING_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,83.27,index,valid,synthetic_energy,5.28,0,5.28,12144
ENERGY-METER_READING_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,38.4,index,valid,synthetic_energy,4.11,0,4.11,9453
ENERGY-METER_READING_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,62.38,index,valid,synthetic_energy,6.22,0,6.22,14306
