power_outage_event_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-POWER_OUTAGE_EVENT-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,3.64,0,3.64,8372
ENERGY-POWER_OUTAGE_EVENT-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.56,0,7.56,17388
ENERGY-POWER_OUTAGE_EVENT-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.93,0,5.93,13639
ENERGY-POWER_OUTAGE_EVENT-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,POWER_OUTAGE_EVENT,major,failed,3600,synthetic_energy,5.95,2,7.95,21685
ENERGY-POWER_OUTAGE_EVENT-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,3.09,0,3.09,7107
ENERGY-POWER_OUTAGE_EVENT-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.36,0,7.36,16928
ENERGY-POWER_OUTAGE_EVENT-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.64,0,6.64,15272
ENERGY-POWER_OUTAGE_EVENT-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.58,0,6.58,15134
ENERGY-POWER_OUTAGE_EVENT-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,3.97,0,3.97,9131
ENERGY-POWER_OUTAGE_EVENT-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.95,0,5.95,13685
ENERGY-POWER_OUTAGE_EVENT-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.97,0,7.97,18331
ENERGY-POWER_OUTAGE_EVENT-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.41,0,4.41,10143
