power_quality_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-POWER_QUALITY_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,72.28,index,valid,synthetic_energy,6.76,0,6.76,15548
ENERGY-POWER_QUALITY_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,68.95,index,valid,synthetic_energy,7.86,0,7.86,18078
ENERGY-POWER_QUALITY_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,62.9,index,valid,synthetic_energy,4.46,0,4.46,10258
ENERGY-POWER_QUALITY_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,29.86,index,valid,synthetic_energy,7.65,0,7.65,17595
ENERGY-POWER_QUALITY_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,33.7,index,valid,synthetic_energy,3.53,0,3.53,8119
ENERGY-POWER_QUALITY_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,53.83,index,valid,synthetic_energy,3.05,0,3.05,7015
ENERGY-POWER_QUALITY_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,71.08,index,valid,synthetic_energy,3.17,0,3.17,7291
ENERGY-POWER_QUALITY_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,44.37,index,valid,synthetic_energy,6.43,0,6.43,14789
ENERGY-POWER_QUALITY_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,83.2,index,valid,synthetic_energy,3.0,0,3.0,6900
ENERGY-POWER_QUALITY_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,55.0,index,valid,synthetic_energy,6.36,0,6.36,14628
ENERGY-POWER_QUALITY_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,84.32,index,valid,synthetic_energy,7.56,0,7.56,17388
ENERGY-POWER_QUALITY_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,63.47,index,valid,synthetic_energy,4.27,0,4.27,9821
ENERGY-POWER_QUALITY_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,16.91,index,valid,synthetic_energy,3.73,0,3.73,8579
ENERGY-POWER_QUALITY_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,53.75,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-POWER_QUALITY_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,76.67,index,valid,synthetic_energy,7.09,0,7.09,16307
ENERGY-POWER_QUALITY_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,52.91,index,valid,synthetic_energy,4.97,0,4.97,11431
ENERGY-POWER_QUALITY_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,64.22,index,valid,synthetic_energy,7.79,0,7.79,17917
ENERGY-POWER_QUALITY_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,28.74,index,valid,synthetic_energy,5.19,0,5.19,11937
ENERGY-POWER_QUALITY_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,40.25,index,valid,synthetic_energy,6.49,0,6.49,14927
ENERGY-POWER_QUALITY_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,46.28,index,valid,synthetic_energy,7.78,0,7.78,17894
ENERGY-POWER_QUALITY_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,18.62,index,valid,synthetic_energy,5.31,0,5.31,12213
ENERGY-POWER_QUALITY_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,41.25,index,valid,synthetic_energy,5.83,0,5.83,13409
ENERGY-POWER_QUALITY_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,66.78,index,valid,synthetic_energy,7.16,0,7.16,16468
ENERGY-POWER_QUALITY_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.48,index,valid,synthetic_energy,4.4,0,4.4,10120
ENERGY-POWER_QUALITY_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,74.47,index,valid,synthetic_energy,3.25,0,3.25,7475
ENERGY-POWER_QUALITY_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,47.94,index,valid,synthetic_energy,4.44,0,4.44,10212
ENERGY-POWER_QUALITY_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,33.03,index,valid,synthetic_energy,4.29,0,4.29,9867
ENERGY-POWER_QUALITY_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,26.97,index,degraded,synthetic_energy,4.26,2,6.26,17798
ENERGY-POWER_QUALITY_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,75.91,index,valid,synthetic_energy,6.82,0,6.82,15686
ENERGY-POWER_QUALITY_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,16.63,index,valid,synthetic_energy,7.48,0,7.48,17204
ENERGY-POWER_QUALITY_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,24.41,index,valid,synthetic_energy,3.74,0,3.74,8602
ENERGY-POWER_QUALITY_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,68.31,index,valid,synthetic_energy,7.52,0,7.52,17296
ENERGY-POWER_QUALITY_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,52.85,index,valid,synthetic_energy,6.69,0,6.69,15387
ENERGY-POWER_QUALITY_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,29.39,index,valid,synthetic_energy,3.37,0,3.37,7751
ENERGY-POWER_QUALITY_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,37.18,index,valid,synthetic_energy,6.74,0,6.74,15502
ENERGY-POWER_QUALITY_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,25.13,index,valid,synthetic_energy,6.72,0,6.72,15456
ENERGY-POWER_QUALITY_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,18.02,index,valid,synthetic_energy,4.87,0,4.87,11201
ENERGY-POWER_QUALITY_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,28.96,index,valid,synthetic_energy,3.72,0,3.72,8556
ENERGY-POWER_QUALITY_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,57.18,index,valid,synthetic_energy,5.94,0,5.94,13662
ENERGY-POWER_QUALITY_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,56.48,index,valid,synthetic_energy,6.29,0,6.29,14467
ENERGY-POWER_QUALITY_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,62.75,index,valid,synthetic_energy,4.93,0,4.93,11339
ENERGY-POWER_QUALITY_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,50.76,index,valid,synthetic_energy,7.45,0,7.45,17135
ENERGY-POWER_QUALITY_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,57.21,index,valid,synthetic_energy,6.64,0,6.64,15272
ENERGY-POWER_QUALITY_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,45.98,index,valid,synthetic_energy,6.23,0,6.23,14329
ENERGY-POWER_QUALITY_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,74.04,index,valid,synthetic_energy,7.1,0,7.1,16330
ENERGY-POWER_QUALITY_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,32.58,index,valid,synthetic_energy,6.63,0,6.63,15249
ENERGY-POWER_QUALITY_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,53.67,index,valid,synthetic_energy,7.37,0,7.37,16951
