solar_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-SOLAR_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,32.63,index,valid,synthetic_energy,7.9,0,7.9,18170
ENERGY-SOLAR_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,55.51,index,valid,synthetic_energy,6.73,0,6.73,15479
ENERGY-SOLAR_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,84.05,index,valid,synthetic_energy,4.89,0,4.89,11247
ENERGY-SOLAR_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,64.87,index,valid,synthetic_energy,7.97,0,7.97,18331
ENERGY-SOLAR_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,84.67,index,valid,synthetic_energy,7.97,0,7.97,18331
ENERGY-SOLAR_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,16.38,index,valid,synthetic_energy,3.73,0,3.73,8579
ENERGY-SOLAR_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,34.6,index,valid,synthetic_energy,4.73,0,4.73,10879
ENERGY-SOLAR_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,31.5,index,valid,synthetic_energy,6.33,0,6.33,14559
ENERGY-SOLAR_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,54.97,index,valid,synthetic_energy,7.27,0,7.27,16721
ENERGY-SOLAR_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,67.88,index,valid,synthetic_energy,5.14,0,5.14,11822
ENERGY-SOLAR_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,54.38,index,valid,synthetic_energy,5.81,0,5.81,13363
ENERGY-SOLAR_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,50.59,index,valid,synthetic_energy,5.99,0,5.99,13777
ENERGY-SOLAR_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,40.78,index,valid,synthetic_energy,3.09,0,3.09,7107
ENERGY-SOLAR_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,30.31,index,valid,synthetic_energy,5.98,0,5.98,13754
