station_id,province_code,date_hour,grid_kwh,generator_kwh,solar_kwh,battery_soc_pct,load_kw,ambient_temp_c,site_temp_c,power_outage_min,alarm_flag,cost_vnd
ST0101,DBN,2026-08-18-00,2.89,0,0,95,3.4,30.41,30.1,0,0,6647
ST0102,DBN,2026-08-18-00,4.11,0,0,95,4.83,34.61,34.79,0,0,9453
ST0201,SLA,2026-08-18-00,2.58,0,0,95,3.04,32.73,37.92,0,0,5934
ST0202,SLA,2026-08-18-00,3.68,0,0,95,4.33,32.27,38.89,0,0,8464
ST0301,CMU,2026-08-18-00,2.95,0,0,95,3.47,31.29,35.31,0,0,6785
ST0302,CMU,2026-08-18-00,4.36,0,0,95,5.13,31.41,30.47,0,0,10028
ST0401,NBH,2026-08-18-00,5.31,0,0,95,6.25,34.27,34.23,0,0,12213
ST0402,NBH,2026-08-18-00,5.95,0,0,95,7.0,30.11,35.91,0,0,13685
ST0501,HCM,2026-08-18-00,3.3,0,0,95,3.88,33.61,37.31,0,0,7590
ST0502,HCM,2026-08-18-00,4.91,0,0,95,5.78,28.36,36.2,0,0,11293
ST0601,KHA,2026-08-18-00,3.15,0,0,95,3.7,28.26,34.48,0,0,7245
ST0602,KHA,2026-08-18-00,4.23,0,0,95,4.98,31.62,33.81,0,0,9729
ST0101,DBN,2026-08-18-01,7.21,0,0,95,8.48,32.09,32.69,0,0,16583
ST0102,DBN,2026-08-18-01,4.42,0,0,95,5.2,34.14,38.07,0,0,10166
ST0201,SLA,2026-08-18-01,4.67,0,0,95,5.5,32.37,29.0,0,0,10741
ST0202,SLA,2026-08-18-01,2.59,0,0,95,3.05,29.91,31.15,0,0,5957
ST0301,CMU,2026-08-18-01,6.84,0,0,95,8.05,32.37,37.4,0,0,15732
ST0302,CMU,2026-08-18-01,4.76,0,0,95,5.6,28.46,33.02,0,0,10948
ST0401,NBH,2026-08-18-01,5.0,0,0,95,5.88,30.16,37.35,0,0,11500
ST0402,NBH,2026-08-18-01,4.45,0,0,95,5.23,29.42,32.47,0,0,10235
ST0501,HCM,2026-08-18-01,7.48,0,0,95,8.8,27.56,33.07,0,0,17204
ST0502,HCM,2026-08-18-01,7.19,0,0,95,8.46,32.01,32.13,0,0,16537
ST0601,KHA,2026-08-18-01,3.04,0,0,95,3.58,32.78,35.98,0,0,6992
ST0602,KHA,2026-08-18-01,7.56,0,0,95,8.89,25.12,32.4,0,0,17388
ST0101,DBN,2026-08-18-02,3.79,0,0,95,4.46,33.09,38.19,0,0,8717
ST0102,DBN,2026-08-18-02,3.21,0,0,95,3.78,32.66,29.98,0,0,7383
ST0201,SLA,2026-08-18-02,7.39,0,0,95,8.7,27.31,34.05,0,0,16997
ST0202,SLA,2026-08-18-02,2.89,0,0,95,3.4,29.28,35.94,0,0,6647
