tariff_history_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-TARIFF_HISTORY-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.5,0,4.5,10350
ENERGY-TARIFF_HISTORY-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.27,0,6.27,14421
ENERGY-TARIFF_HISTORY-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.12,0,7.12,16376
ENERGY-TARIFF_HISTORY-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,TARIFF_HISTORY,major,failed,3600,synthetic_energy,6.75,2,8.75,23525
ENERGY-TARIFF_HISTORY-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.35,0,6.35,14605
ENERGY-TARIFF_HISTORY-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.9,0,7.9,18170
ENERGY-TARIFF_HISTORY-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.0,0,4.0,9200
ENERGY-TARIFF_HISTORY-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.36,0,4.36,10028
ENERGY-TARIFF_HISTORY-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,5.69,0,5.69,13087
ENERGY-TARIFF_HISTORY-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,5.62,0,5.62,12926
ENERGY-TARIFF_HISTORY-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,5.55,0,5.55,12765
ENERGY-TARIFF_HISTORY-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,5.65,0,5.65,12995
ENERGY-TARIFF_HISTORY-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,3.56,0,3.56,8188
ENERGY-TARIFF_HISTORY-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,TARIFF_HISTORY,major,failed,3600,synthetic_energy,3.67,2,5.67,16441
ENERGY-TARIFF_HISTORY-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.59,0,6.59,15157
ENERGY-TARIFF_HISTORY-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.98,0,7.98,18354
ENERGY-TARIFF_HISTORY-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.61,0,7.61,17503
ENERGY-TARIFF_HISTORY-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,5.48,0,5.48,12604
ENERGY-TARIFF_HISTORY-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.86,0,7.86,18078
ENERGY-TARIFF_HISTORY-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.65,0,6.65,15295
ENERGY-TARIFF_HISTORY-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,5.54,0,5.54,12742
ENERGY-TARIFF_HISTORY-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.56,0,4.56,10488
ENERGY-TARIFF_HISTORY-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.84,0,7.84,18032
ENERGY-TARIFF_HISTORY-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.05,0,6.05,13915
ENERGY-TARIFF_HISTORY-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,3.74,0,3.74,8602
ENERGY-TARIFF_HISTORY-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.07,0,6.07,13961
ENERGY-TARIFF_HISTORY-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.42,0,4.42,10166
ENERGY-TARIFF_HISTORY-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,3.8,0,3.8,8740
ENERGY-TARIFF_HISTORY-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,3.21,0,3.21,7383
ENERGY-TARIFF_HISTORY-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,3.05,0,3.05,7015
ENERGY-TARIFF_HISTORY-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,3.08,0,3.08,7084
ENERGY-TARIFF_HISTORY-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.03,0,7.03,16169
ENERGY-TARIFF_HISTORY-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.79,0,4.79,11017
ENERGY-TARIFF_HISTORY-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.28,0,7.28,16744
ENERGY-TARIFF_HISTORY-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.13,0,7.13,16399
ENERGY-TARIFF_HISTORY-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,3.95,0,3.95,9085
ENERGY-TARIFF_HISTORY-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,5.88,0,5.88,13524
ENERGY-TARIFF_HISTORY-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.58,0,7.58,17434
ENERGY-TARIFF_HISTORY-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.73,0,6.73,15479
ENERGY-TARIFF_HISTORY-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,3.17,0,3.17,7291
ENERGY-TARIFF_HISTORY-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.09,0,6.09,14007
ENERGY-TARIFF_HISTORY-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.41,0,7.41,17043
ENERGY-TARIFF_HISTORY-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,5.62,0,5.62,12926
ENERGY-TARIFF_HISTORY-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.49,0,4.49,10327
ENERGY-TARIFF_HISTORY-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.9,0,4.9,11270
ENERGY-TARIFF_HISTORY-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,7.54,0,7.54,17342
ENERGY-TARIFF_HISTORY-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,6.98,0,6.98,16054
ENERGY-TARIFF_HISTORY-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,TARIFF_HISTORY,info,success,60,synthetic_energy,4.99,0,4.99,11477
