temperature_alarm_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-TEMPERATURE_ALARM-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.42,0,7.42,17066
ENERGY-TEMPERATURE_ALARM-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.65,0,7.65,17595
ENERGY-TEMPERATURE_ALARM-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.18,0,5.18,11914
ENERGY-TEMPERATURE_ALARM-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,TEMPERATURE_ALARM,major,failed,3600,synthetic_energy,7.78,2,9.78,25894
ENERGY-TEMPERATURE_ALARM-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,6.63,0,6.63,15249
ENERGY-TEMPERATURE_ALARM-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,4.16,0,4.16,9568
ENERGY-TEMPERATURE_ALARM-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.92,0,7.92,18216
ENERGY-TEMPERATURE_ALARM-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,6.4,0,6.4,14720
ENERGY-TEMPERATURE_ALARM-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.01,0,7.01,16123
ENERGY-TEMPERATURE_ALARM-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,4.89,0,4.89,11247
