chat_session_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-CHAT_SESSION-00-00,CUS0001,DBN,KV1,active,2026-08-18 00:00:00,CHAT_SESSION,info,success,60,synthetic_experience,27,24,4.5,0
EXPERIENCE-CHAT_SESSION-00-09,CUS0001,DBN,KV1,active,2026-08-18 09:00:00,CHAT_SESSION,info,success,60,synthetic_experience,44,43,4.5,0
EXPERIENCE-CHAT_SESSION-00-18,CUS0001,DBN,KV1,active,2026-08-18 18:00:00,CHAT_SESSION,info,success,60,synthetic_experience,19,15,4.5,0
EXPERIENCE-CHAT_SESSION-00-27,CUS0001,DBN,KV1,degraded,2026-08-19 03:00:00,CHAT_SESSION,major,failed,3600,synthetic_experience,34,30,3,1
EXPERIENCE-CHAT_SESSION-00-36,CUS0001,DBN,KV1,active,2026-08-19 12:00:00,CHAT_SESSION,info,success,60,synthetic_experience,41,38,4.5,0
EXPERIENCE-CHAT_SESSION-00-45,CUS0001,DBN,KV1,active,2026-08-19 21:00:00,CHAT_SESSION,info,success,60,synthetic_experience,23,20,4.5,0
EXPERIENCE-CHAT_SESSION-00-54,CUS0001,DBN,KV1,active,2026-08-20 06:00:00,CHAT_SESSION,info,success,60,synthetic_experience,31,30,4.5,0
EXPERIENCE-CHAT_SESSION-00-63,CUS0001,DBN,KV1,active,2026-08-20 15:00:00,CHAT_SESSION,info,success,60,synthetic_experience,22,20,4.5,0
EXPERIENCE-CHAT_SESSION-01-00,CUS0007,SLA,KV1,active,2026-08-18 00:00:00,CHAT_SESSION,info,success,60,synthetic_experience,41,37,4.5,0
EXPERIENCE-CHAT_SESSION-01-09,CUS0007,SLA,KV1,active,2026-08-18 09:00:00,CHAT_SESSION,info,success,60,synthetic_experience,49,48,4.5,0
EXPERIENCE-CHAT_SESSION-01-18,CUS0007,SLA,KV1,active,2026-08-18 18:00:00,CHAT_SESSION,info,success,60,synthetic_experience,31,29,4.5,0
EXPERIENCE-CHAT_SESSION-01-27,CUS0007,SLA,KV1,active,2026-08-19 03:00:00,CHAT_SESSION,info,success,60,synthetic_experience,20,17,4.5,0
EXPERIENCE-CHAT_SESSION-01-36,CUS0007,SLA,KV1,active,2026-08-19 12:00:00,CHAT_SESSION,info,success,60,synthetic_experience,33,32,4.5,0
EXPERIENCE-CHAT_SESSION-01-45,CUS0007,SLA,KV1,degraded,2026-08-19 21:00:00,CHAT_SESSION,major,failed,3600,synthetic_experience,36,31,3,1
EXPERIENCE-CHAT_SESSION-01-54,CUS0007,SLA,KV1,active,2026-08-20 06:00:00,CHAT_SESSION,info,success,60,synthetic_experience,20,16,4.5,0
