contact_center_call_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-CONTACT_CENTER_CALL-00-00,CUS0001,DBN,KV1,active,2026-08-18 00:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,48,45,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-00-09,CUS0001,DBN,KV1,active,2026-08-18 09:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,38,37,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-00-18,CUS0001,DBN,KV1,active,2026-08-18 18:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,21,18,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-00-27,CUS0001,DBN,KV1,degraded,2026-08-19 03:00:00,CONTACT_CENTER_CALL,major,failed,3600,synthetic_experience,35,32,3,1
EXPERIENCE-CONTACT_CENTER_CALL-00-36,CUS0001,DBN,KV1,active,2026-08-19 12:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,32,30,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-00-45,CUS0001,DBN,KV1,active,2026-08-19 21:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,27,25,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-00-54,CUS0001,DBN,KV1,active,2026-08-20 06:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,25,24,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-00-63,CUS0001,DBN,KV1,active,2026-08-20 15:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,20,19,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-01-00,CUS0007,SLA,KV1,active,2026-08-18 00:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,20,19,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-01-09,CUS0007,SLA,KV1,active,2026-08-18 09:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,35,30,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-01-18,CUS0007,SLA,KV1,active,2026-08-18 18:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,43,42,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-01-27,CUS0007,SLA,KV1,active,2026-08-19 03:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,13,12,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-01-36,CUS0007,SLA,KV1,active,2026-08-19 12:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,47,45,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-01-45,CUS0007,SLA,KV1,degraded,2026-08-19 21:00:00,CONTACT_CENTER_CALL,major,failed,3600,synthetic_experience,19,15,3,1
EXPERIENCE-CONTACT_CENTER_CALL-01-54,CUS0007,SLA,KV1,active,2026-08-20 06:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,16,13,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-01-63,CUS0007,SLA,KV1,active,2026-08-20 15:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,17,12,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-02-00,CUS0013,CMU,KV3,active,2026-08-18 00:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,33,30,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-02-09,CUS0013,CMU,KV3,active,2026-08-18 09:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,22,21,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-02-18,CUS0013,CMU,KV3,active,2026-08-18 18:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,43,40,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-02-27,CUS0013,CMU,KV3,active,2026-08-19 03:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,27,23,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-02-36,CUS0013,CMU,KV3,active,2026-08-19 12:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,45,40,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-02-45,CUS0013,CMU,KV3,active,2026-08-19 21:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,34,33,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-02-54,CUS0013,CMU,KV3,active,2026-08-20 06:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,20,17,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-02-63,CUS0013,CMU,KV3,active,2026-08-20 15:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,32,27,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-03-00,CUS0019,NBH,KV1,active,2026-08-18 00:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,48,46,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-03-09,CUS0019,NBH,KV1,active,2026-08-18 09:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,13,10,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-03-18,CUS0019,NBH,KV1,active,2026-08-18 18:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,50,45,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-03-27,CUS0019,NBH,KV1,active,2026-08-19 03:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,48,45,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-03-36,CUS0019,NBH,KV1,active,2026-08-19 12:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,10,8,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-03-45,CUS0019,NBH,KV1,active,2026-08-19 21:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,11,7,4.5,0
