customer_effort_daily_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-CUSTOMER_EFFORT_DAILY-00-00,CUS0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,67.3,index,valid,synthetic_experience,24,20,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-00-24,CUS0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,82.33,index,valid,synthetic_experience,16,11,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-00-48,CUS0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,27.13,index,valid,synthetic_experience,16,13,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-01-00,CUS0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,33.78,index,valid,synthetic_experience,41,38,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-01-24,CUS0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,53.96,index,valid,synthetic_experience,38,34,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-01-48,CUS0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,57.36,index,valid,synthetic_experience,12,9,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-02-00,CUS0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,72.83,index,valid,synthetic_experience,39,34,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-02-24,CUS0013,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,80.34,index,valid,synthetic_experience,33,29,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-02-48,CUS0013,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,71.26,index,valid,synthetic_experience,32,31,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-03-00,CUS0019,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,25.87,index,valid,synthetic_experience,43,38,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-03-24,CUS0019,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,24.83,index,valid,synthetic_experience,49,48,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-03-48,CUS0019,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,22.84,index,valid,synthetic_experience,29,25,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-04-00,CUS0025,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,79.26,index,valid,synthetic_experience,12,7,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-04-24,CUS0025,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,55.84,index,valid,synthetic_experience,16,15,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-04-48,CUS0025,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,23.8,index,valid,synthetic_experience,49,47,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-05-00,CUS0026,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,41.83,index,valid,synthetic_experience,18,14,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-05-24,CUS0026,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,31.46,index,valid,synthetic_experience,26,23,4.5,0
EXPERIENCE-CUSTOMER_EFFORT_DAILY-05-48,CUS0026,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,75.85,index,valid,synthetic_experience,40,39,4.5,0
