journey_event_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-JOURNEY_EVENT-00-00,CUS0001,DBN,KV1,active,2026-08-18 00:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,23,21,4.5,0
EXPERIENCE-JOURNEY_EVENT-00-09,CUS0001,DBN,KV1,active,2026-08-18 09:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,20,15,4.5,0
EXPERIENCE-JOURNEY_EVENT-00-18,CUS0001,DBN,KV1,active,2026-08-18 18:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,43,40,4.5,0
EXPERIENCE-JOURNEY_EVENT-00-27,CUS0001,DBN,KV1,degraded,2026-08-19 03:00:00,JOURNEY_EVENT,major,failed,3600,synthetic_experience,15,13,3,1
EXPERIENCE-JOURNEY_EVENT-00-36,CUS0001,DBN,KV1,active,2026-08-19 12:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,31,30,4.5,0
EXPERIENCE-JOURNEY_EVENT-00-45,CUS0001,DBN,KV1,active,2026-08-19 21:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,21,18,4.5,0
EXPERIENCE-JOURNEY_EVENT-00-54,CUS0001,DBN,KV1,active,2026-08-20 06:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,39,34,4.5,0
EXPERIENCE-JOURNEY_EVENT-00-63,CUS0001,DBN,KV1,active,2026-08-20 15:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,41,39,4.5,0
EXPERIENCE-JOURNEY_EVENT-01-00,CUS0007,SLA,KV1,active,2026-08-18 00:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,11,10,4.5,0
EXPERIENCE-JOURNEY_EVENT-01-09,CUS0007,SLA,KV1,active,2026-08-18 09:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,38,35,4.5,0
EXPERIENCE-JOURNEY_EVENT-01-18,CUS0007,SLA,KV1,active,2026-08-18 18:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,15,12,4.5,0
EXPERIENCE-JOURNEY_EVENT-01-27,CUS0007,SLA,KV1,active,2026-08-19 03:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,44,40,4.5,0
EXPERIENCE-JOURNEY_EVENT-01-36,CUS0007,SLA,KV1,active,2026-08-19 12:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,18,13,4.5,0
EXPERIENCE-JOURNEY_EVENT-01-45,CUS0007,SLA,KV1,degraded,2026-08-19 21:00:00,JOURNEY_EVENT,major,failed,3600,synthetic_experience,15,11,3,1
EXPERIENCE-JOURNEY_EVENT-01-54,CUS0007,SLA,KV1,active,2026-08-20 06:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,42,41,4.5,0
