network_experience_hourly_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-00,CUS0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,73.84,index,valid,synthetic_experience,23,22,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-01,CUS0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,42.08,index,valid,synthetic_experience,42,40,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-02,CUS0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,66.46,index,valid,synthetic_experience,39,37,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-03,CUS0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,72.49,index,valid,synthetic_experience,19,14,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-04,CUS0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,25.06,index,valid,synthetic_experience,22,18,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-05,CUS0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,73.86,index,valid,synthetic_experience,14,9,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-06,CUS0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,35.61,index,valid,synthetic_experience,42,39,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-07,CUS0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,19.55,index,valid,synthetic_experience,18,13,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-08,CUS0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,69.02,index,valid,synthetic_experience,50,45,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-09,CUS0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,52.79,index,valid,synthetic_experience,17,16,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-10,CUS0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,19.06,index,valid,synthetic_experience,36,35,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-11,CUS0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,15.9,index,valid,synthetic_experience,43,41,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-12,CUS0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,76.73,index,valid,synthetic_experience,50,47,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-13,CUS0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,30.81,index,valid,synthetic_experience,41,37,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-14,CUS0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,83.88,index,valid,synthetic_experience,29,26,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-15,CUS0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,39.99,index,valid,synthetic_experience,43,40,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-16,CUS0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,65.4,index,valid,synthetic_experience,45,40,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-17,CUS0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,81.34,index,valid,synthetic_experience,47,42,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-18,CUS0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,26.5,index,valid,synthetic_experience,15,11,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-19,CUS0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,26.86,index,valid,synthetic_experience,35,33,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-20,CUS0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,71.33,index,valid,synthetic_experience,27,25,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-21,CUS0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,59.54,index,valid,synthetic_experience,12,7,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-22,CUS0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,38.08,index,valid,synthetic_experience,44,43,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-23,CUS0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,15.66,index,valid,synthetic_experience,13,10,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-24,CUS0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,38.75,index,valid,synthetic_experience,14,13,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-25,CUS0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,42.74,index,valid,synthetic_experience,11,10,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-26,CUS0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,81.17,index,valid,synthetic_experience,31,29,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-27,CUS0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,22.6,index,degraded,synthetic_experience,41,38,3,1
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-28,CUS0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,55.71,index,valid,synthetic_experience,35,33,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-29,CUS0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,33.47,index,valid,synthetic_experience,46,41,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-30,CUS0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,34.01,index,valid,synthetic_experience,23,20,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-31,CUS0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,74.41,index,valid,synthetic_experience,50,47,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-32,CUS0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,61.44,index,valid,synthetic_experience,46,45,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-33,CUS0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,79.24,index,valid,synthetic_experience,18,15,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-34,CUS0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,60.67,index,valid,synthetic_experience,36,33,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-35,CUS0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,73.72,index,valid,synthetic_experience,22,18,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-36,CUS0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,21.65,index,valid,synthetic_experience,29,27,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-37,CUS0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,50.45,index,valid,synthetic_experience,31,29,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-38,CUS0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,62.84,index,valid,synthetic_experience,40,39,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-39,CUS0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,82.58,index,valid,synthetic_experience,22,18,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-40,CUS0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,43.68,index,valid,synthetic_experience,31,26,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-41,CUS0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,84.35,index,valid,synthetic_experience,49,47,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-42,CUS0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,26.33,index,valid,synthetic_experience,18,15,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-43,CUS0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,52.84,index,valid,synthetic_experience,50,47,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-44,CUS0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,77.55,index,valid,synthetic_experience,10,6,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-45,CUS0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,52.2,index,valid,synthetic_experience,40,35,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-46,CUS0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,20.67,index,valid,synthetic_experience,42,37,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-47,CUS0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,53.75,index,valid,synthetic_experience,30,25,4.5,0
