outage_notification_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-OUTAGE_NOTIFICATION-00-00,CUS0001,DBN,KV1,active,2026-08-18 00:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,50,45,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-00-09,CUS0001,DBN,KV1,active,2026-08-18 09:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,19,14,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-00-18,CUS0001,DBN,KV1,active,2026-08-18 18:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,19,17,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-00-27,CUS0001,DBN,KV1,degraded,2026-08-19 03:00:00,OUTAGE_NOTIFICATION,major,failed,3600,synthetic_experience,14,13,3,1
EXPERIENCE-OUTAGE_NOTIFICATION-00-36,CUS0001,DBN,KV1,active,2026-08-19 12:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,27,26,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-00-45,CUS0001,DBN,KV1,active,2026-08-19 21:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,13,12,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-00-54,CUS0001,DBN,KV1,active,2026-08-20 06:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,44,41,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-00-63,CUS0001,DBN,KV1,active,2026-08-20 15:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,19,17,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-01-00,CUS0007,SLA,KV1,active,2026-08-18 00:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,28,24,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-01-09,CUS0007,SLA,KV1,active,2026-08-18 09:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,25,21,4.5,0
