repeat_contact_daily_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-REPEAT_CONTACT_DAILY-00-00,CUS0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,28.5,index,valid,synthetic_experience,19,18,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-00-24,CUS0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,24.84,index,valid,synthetic_experience,23,22,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-00-48,CUS0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,16.01,index,valid,synthetic_experience,32,31,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-01-00,CUS0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,35.83,index,valid,synthetic_experience,20,15,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-01-24,CUS0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,26.54,index,valid,synthetic_experience,47,45,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-01-48,CUS0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,66.09,index,valid,synthetic_experience,30,27,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-02-00,CUS0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,66.14,index,valid,synthetic_experience,43,42,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-02-24,CUS0013,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,70.75,index,valid,synthetic_experience,34,32,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-02-48,CUS0013,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,77.02,index,valid,synthetic_experience,33,31,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-03-00,CUS0019,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,22.72,index,valid,synthetic_experience,10,6,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-03-24,CUS0019,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,49.37,index,valid,synthetic_experience,30,29,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-03-48,CUS0019,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,20.63,index,valid,synthetic_experience,10,9,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-04-00,CUS0025,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,82.18,index,valid,synthetic_experience,27,23,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-04-24,CUS0025,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,61.6,index,valid,synthetic_experience,21,17,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-04-48,CUS0025,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,38.85,index,valid,synthetic_experience,10,9,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-05-00,CUS0026,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,65.47,index,valid,synthetic_experience,37,34,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-05-24,CUS0026,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,28.2,index,valid,synthetic_experience,40,36,4.5,0
EXPERIENCE-REPEAT_CONTACT_DAILY-05-48,CUS0026,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,65.39,index,valid,synthetic_experience,15,11,4.5,0
