survey_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-SURVEY-00-00,CUS0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,73.99,index,valid,synthetic_experience,42,39,4.5,0
EXPERIENCE-SURVEY-00-09,CUS0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,73.41,index,valid,synthetic_experience,35,30,4.5,0
EXPERIENCE-SURVEY-00-18,CUS0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,50.71,index,valid,synthetic_experience,29,26,4.5,0
EXPERIENCE-SURVEY-00-27,CUS0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,64.24,index,degraded,synthetic_experience,24,20,3,1
EXPERIENCE-SURVEY-00-36,CUS0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,30.54,index,valid,synthetic_experience,13,11,4.5,0
EXPERIENCE-SURVEY-00-45,CUS0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,53.82,index,valid,synthetic_experience,46,43,4.5,0
EXPERIENCE-SURVEY-00-54,CUS0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,55.6,index,valid,synthetic_experience,47,45,4.5,0
EXPERIENCE-SURVEY-00-63,CUS0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,74.85,index,valid,synthetic_experience,12,10,4.5,0
EXPERIENCE-SURVEY-01-00,CUS0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,66.55,index,valid,synthetic_experience,37,36,4.5,0
EXPERIENCE-SURVEY-01-09,CUS0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,44.57,index,valid,synthetic_experience,26,23,4.5,0
EXPERIENCE-SURVEY-01-18,CUS0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,47.52,index,valid,synthetic_experience,31,30,4.5,0
EXPERIENCE-SURVEY-01-27,CUS0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,50.28,index,valid,synthetic_experience,34,32,4.5,0
EXPERIENCE-SURVEY-01-36,CUS0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,27.09,index,valid,synthetic_experience,45,42,4.5,0
EXPERIENCE-SURVEY-01-45,CUS0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,90.64,index,degraded,synthetic_experience,43,38,3,1
EXPERIENCE-SURVEY-01-54,CUS0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,77.71,index,valid,synthetic_experience,22,17,4.5,0
EXPERIENCE-SURVEY-01-63,CUS0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,70.63,index,valid,synthetic_experience,42,40,4.5,0
EXPERIENCE-SURVEY-02-00,CUS0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,72.12,index,valid,synthetic_experience,14,11,4.5,0
EXPERIENCE-SURVEY-02-09,CUS0013,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,68.96,index,valid,synthetic_experience,25,20,4.5,0
EXPERIENCE-SURVEY-02-18,CUS0013,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,60.0,index,valid,synthetic_experience,47,44,4.5,0
EXPERIENCE-SURVEY-02-27,CUS0013,CMU,KV3,active,2026-08-19-03,2026-08-19 03:00:00,43.25,index,valid,synthetic_experience,25,23,4.5,0
EXPERIENCE-SURVEY-02-36,CUS0013,CMU,KV3,active,2026-08-19-12,2026-08-19 12:00:00,38.54,index,valid,synthetic_experience,35,30,4.5,0
EXPERIENCE-SURVEY-02-45,CUS0013,CMU,KV3,active,2026-08-19-21,2026-08-19 21:00:00,81.74,index,valid,synthetic_experience,17,12,4.5,0
EXPERIENCE-SURVEY-02-54,CUS0013,CMU,KV3,active,2026-08-20-06,2026-08-20 06:00:00,41.64,index,valid,synthetic_experience,20,16,4.5,0
EXPERIENCE-SURVEY-02-63,CUS0013,CMU,KV3,active,2026-08-20-15,2026-08-20 15:00:00,62.19,index,valid,synthetic_experience,41,38,4.5,0
EXPERIENCE-SURVEY-03-00,CUS0019,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,18.26,index,valid,synthetic_experience,47,46,4.5,0
EXPERIENCE-SURVEY-03-09,CUS0019,NBH,KV1,active,2026-08-18-09,2026-08-18 09:00:00,75.31,index,valid,synthetic_experience,18,13,4.5,0
EXPERIENCE-SURVEY-03-18,CUS0019,NBH,KV1,active,2026-08-18-18,2026-08-18 18:00:00,33.58,index,valid,synthetic_experience,47,43,4.5,0
EXPERIENCE-SURVEY-03-27,CUS0019,NBH,KV1,active,2026-08-19-03,2026-08-19 03:00:00,35.23,index,valid,synthetic_experience,29,28,4.5,0
EXPERIENCE-SURVEY-03-36,CUS0019,NBH,KV1,active,2026-08-19-12,2026-08-19 12:00:00,66.11,index,valid,synthetic_experience,17,16,4.5,0
EXPERIENCE-SURVEY-03-45,CUS0019,NBH,KV1,active,2026-08-19-21,2026-08-19 21:00:00,51.1,index,valid,synthetic_experience,39,34,4.5,0
EXPERIENCE-SURVEY-03-54,CUS0019,NBH,KV1,active,2026-08-20-06,2026-08-20 06:00:00,68.75,index,valid,synthetic_experience,16,12,4.5,0
EXPERIENCE-SURVEY-03-63,CUS0019,NBH,KV1,active,2026-08-20-15,2026-08-20 15:00:00,26.55,index,valid,synthetic_experience,10,7,4.5,0
EXPERIENCE-SURVEY-04-00,CUS0025,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,33.6,index,valid,synthetic_experience,18,14,4.5,0
EXPERIENCE-SURVEY-04-09,CUS0025,HCM,KV3,active,2026-08-18-09,2026-08-18 09:00:00,78.08,index,valid,synthetic_experience,13,8,4.5,0
EXPERIENCE-SURVEY-04-18,CUS0025,HCM,KV3,active,2026-08-18-18,2026-08-18 18:00:00,32.2,index,valid,synthetic_experience,35,33,4.5,0
EXPERIENCE-SURVEY-04-27,CUS0025,HCM,KV3,active,2026-08-19-03,2026-08-19 03:00:00,40.26,index,valid,synthetic_experience,20,16,4.5,0
EXPERIENCE-SURVEY-04-36,CUS0025,HCM,KV3,active,2026-08-19-12,2026-08-19 12:00:00,31.72,index,valid,synthetic_experience,18,14,4.5,0
EXPERIENCE-SURVEY-04-45,CUS0025,HCM,KV3,active,2026-08-19-21,2026-08-19 21:00:00,61.24,index,valid,synthetic_experience,41,38,4.5,0
EXPERIENCE-SURVEY-04-54,CUS0025,HCM,KV3,active,2026-08-20-06,2026-08-20 06:00:00,24.26,index,valid,synthetic_experience,42,40,4.5,0
EXPERIENCE-SURVEY-04-63,CUS0025,HCM,KV3,active,2026-08-20-15,2026-08-20 15:00:00,26.5,index,valid,synthetic_experience,43,40,4.5,0
EXPERIENCE-SURVEY-05-00,CUS0026,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,35.53,index,valid,synthetic_experience,35,33,4.5,0
