survey_response_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-SURVEY_RESPONSE-00-00,CUS0001,DBN,KV1,active,2026-08-18 00:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,28,23,4.5,0
EXPERIENCE-SURVEY_RESPONSE-00-09,CUS0001,DBN,KV1,active,2026-08-18 09:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,21,20,4.5,0
EXPERIENCE-SURVEY_RESPONSE-00-18,CUS0001,DBN,KV1,active,2026-08-18 18:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,27,24,4.5,0
EXPERIENCE-SURVEY_RESPONSE-00-27,CUS0001,DBN,KV1,degraded,2026-08-19 03:00:00,SURVEY_RESPONSE,major,failed,3600,synthetic_experience,31,26,3,1
EXPERIENCE-SURVEY_RESPONSE-00-36,CUS0001,DBN,KV1,active,2026-08-19 12:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,18,13,4.5,0
EXPERIENCE-SURVEY_RESPONSE-00-45,CUS0001,DBN,KV1,active,2026-08-19 21:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,26,23,4.5,0
EXPERIENCE-SURVEY_RESPONSE-00-54,CUS0001,DBN,KV1,active,2026-08-20 06:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,35,31,4.5,0
EXPERIENCE-SURVEY_RESPONSE-00-63,CUS0001,DBN,KV1,active,2026-08-20 15:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,18,17,4.5,0
EXPERIENCE-SURVEY_RESPONSE-01-00,CUS0007,SLA,KV1,active,2026-08-18 00:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,20,19,4.5,0
EXPERIENCE-SURVEY_RESPONSE-01-09,CUS0007,SLA,KV1,active,2026-08-18 09:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,50,48,4.5,0
EXPERIENCE-SURVEY_RESPONSE-01-18,CUS0007,SLA,KV1,active,2026-08-18 18:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,16,13,4.5,0
EXPERIENCE-SURVEY_RESPONSE-01-27,CUS0007,SLA,KV1,active,2026-08-19 03:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,32,29,4.5,0
EXPERIENCE-SURVEY_RESPONSE-01-36,CUS0007,SLA,KV1,active,2026-08-19 12:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,37,35,4.5,0
EXPERIENCE-SURVEY_RESPONSE-01-45,CUS0007,SLA,KV1,degraded,2026-08-19 21:00:00,SURVEY_RESPONSE,major,failed,3600,synthetic_experience,26,23,3,1
EXPERIENCE-SURVEY_RESPONSE-01-54,CUS0007,SLA,KV1,active,2026-08-20 06:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,33,29,4.5,0
EXPERIENCE-SURVEY_RESPONSE-01-63,CUS0007,SLA,KV1,active,2026-08-20 15:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,31,27,4.5,0
EXPERIENCE-SURVEY_RESPONSE-02-00,CUS0013,CMU,KV3,active,2026-08-18 00:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,11,7,4.5,0
EXPERIENCE-SURVEY_RESPONSE-02-09,CUS0013,CMU,KV3,active,2026-08-18 09:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,30,29,4.5,0
EXPERIENCE-SURVEY_RESPONSE-02-18,CUS0013,CMU,KV3,active,2026-08-18 18:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,34,30,4.5,0
EXPERIENCE-SURVEY_RESPONSE-02-27,CUS0013,CMU,KV3,active,2026-08-19 03:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,26,25,4.5,0
EXPERIENCE-SURVEY_RESPONSE-02-36,CUS0013,CMU,KV3,active,2026-08-19 12:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,15,11,4.5,0
EXPERIENCE-SURVEY_RESPONSE-02-45,CUS0013,CMU,KV3,active,2026-08-19 21:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,29,27,4.5,0
EXPERIENCE-SURVEY_RESPONSE-02-54,CUS0013,CMU,KV3,active,2026-08-20 06:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,29,26,4.5,0
EXPERIENCE-SURVEY_RESPONSE-02-63,CUS0013,CMU,KV3,active,2026-08-20 15:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,21,18,4.5,0
EXPERIENCE-SURVEY_RESPONSE-03-00,CUS0019,NBH,KV1,active,2026-08-18 00:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,40,36,4.5,0
EXPERIENCE-SURVEY_RESPONSE-03-09,CUS0019,NBH,KV1,active,2026-08-18 09:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,37,36,4.5,0
EXPERIENCE-SURVEY_RESPONSE-03-18,CUS0019,NBH,KV1,active,2026-08-18 18:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,47,44,4.5,0
EXPERIENCE-SURVEY_RESPONSE-03-27,CUS0019,NBH,KV1,active,2026-08-19 03:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,35,33,4.5,0
EXPERIENCE-SURVEY_RESPONSE-03-36,CUS0019,NBH,KV1,active,2026-08-19 12:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,30,26,4.5,0
EXPERIENCE-SURVEY_RESPONSE-03-45,CUS0019,NBH,KV1,active,2026-08-19 21:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,19,15,4.5,0
EXPERIENCE-SURVEY_RESPONSE-03-54,CUS0019,NBH,KV1,active,2026-08-20 06:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,11,7,4.5,0
EXPERIENCE-SURVEY_RESPONSE-03-63,CUS0019,NBH,KV1,active,2026-08-20 15:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,39,36,4.5,0
EXPERIENCE-SURVEY_RESPONSE-04-00,CUS0025,HCM,KV3,active,2026-08-18 00:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,28,24,4.5,0
EXPERIENCE-SURVEY_RESPONSE-04-09,CUS0025,HCM,KV3,active,2026-08-18 09:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,48,43,4.5,0
EXPERIENCE-SURVEY_RESPONSE-04-18,CUS0025,HCM,KV3,active,2026-08-18 18:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,50,48,4.5,0
EXPERIENCE-SURVEY_RESPONSE-04-27,CUS0025,HCM,KV3,active,2026-08-19 03:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,19,18,4.5,0
