fault_impact_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,impact_users,duration_min,repeat_count,priority_score
FAULT-FAULT_IMPACT_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,20.53,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,26.85,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,23.96,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,36.77,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,35.31,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,82.13,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,72.4,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,28.25,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,38.47,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,35.28,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,16.41,count,valid,synthetic_fault,0,0,0,20
