district_population_daily_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,latitude,longitude,population_est,coverage_pct,population_count,household_count,density_per_km2
GEO-DISTRICT_POPULATION_DAILY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,100000,persons,valid,synthetic_geo,21.38,103.02,100000,94.5,100000,25000,100.0
GEO-DISTRICT_POPULATION_DAILY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,100050,persons,valid,synthetic_geo,21.38,103.02,100000,95.66,100050,25012,100.05
GEO-DISTRICT_POPULATION_DAILY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,100100,persons,valid,synthetic_geo,21.38,103.02,100000,93.3,100100,25025,100.1
GEO-DISTRICT_POPULATION_DAILY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,125000,persons,valid,synthetic_geo,21.33,103.91,125000,89.22,125000,31250,113.64
GEO-DISTRICT_POPULATION_DAILY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,125050,persons,valid,synthetic_geo,21.33,103.91,125000,95.64,125050,31262,113.68
GEO-DISTRICT_POPULATION_DAILY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,125100,persons,valid,synthetic_geo,21.33,103.91,125000,95.8,125100,31275,113.73
GEO-DISTRICT_POPULATION_DAILY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,150000,persons,valid,synthetic_geo,9.18,105.15,150000,92.97,150000,37500,125.0
GEO-DISTRICT_POPULATION_DAILY-02-24,LOC003,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,150050,persons,valid,synthetic_geo,9.18,105.15,150000,93.07,150050,37512,125.04
GEO-DISTRICT_POPULATION_DAILY-02-48,LOC003,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,150100,persons,valid,synthetic_geo,9.18,105.15,150000,86.31,150100,37525,125.08
GEO-DISTRICT_POPULATION_DAILY-03-00,LOC004,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,175000,persons,valid,synthetic_geo,20.25,105.97,175000,91.45,175000,43750,134.62
GEO-DISTRICT_POPULATION_DAILY-03-24,LOC004,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,175050,persons,valid,synthetic_geo,20.25,105.97,175000,97.74,175050,43762,134.65
GEO-DISTRICT_POPULATION_DAILY-03-48,LOC004,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,175100,persons,valid,synthetic_geo,20.25,105.97,175000,92.31,175100,43775,134.69
GEO-DISTRICT_POPULATION_DAILY-04-00,LOC005,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,200000,persons,valid,synthetic_geo,10.82,106.63,200000,95.28,200000,50000,142.86
GEO-DISTRICT_POPULATION_DAILY-04-24,LOC005,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,200050,persons,valid,synthetic_geo,10.82,106.63,200000,94.13,200050,50012,142.89
GEO-DISTRICT_POPULATION_DAILY-04-48,LOC005,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,200100,persons,valid,synthetic_geo,10.82,106.63,200000,88.58,200100,50025,142.93
GEO-DISTRICT_POPULATION_DAILY-05-00,LOC006,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,225000,persons,valid,synthetic_geo,12.26,109.19,225000,92.94,225000,56250,150.0
GEO-DISTRICT_POPULATION_DAILY-05-24,LOC006,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,225050,persons,valid,synthetic_geo,12.26,109.19,225000,86.36,225050,56262,150.03
GEO-DISTRICT_POPULATION_DAILY-05-48,LOC006,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,225100,persons,valid,synthetic_geo,12.26,109.19,225000,97.35,225100,56275,150.07
