rainfall_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,latitude,longitude,population_est,coverage_pct
GEO-RAINFALL_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,73.47,index,valid,synthetic_geo,21.38,103.02,100000,89.05
GEO-RAINFALL_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,50.81,index,valid,synthetic_geo,21.38,103.02,100000,94.92
GEO-RAINFALL_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,20.01,index,valid,synthetic_geo,21.38,103.02,100000,99.0
GEO-RAINFALL_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,19.17,index,valid,synthetic_geo,21.38,103.02,100000,92.72
GEO-RAINFALL_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,38.2,index,valid,synthetic_geo,21.38,103.02,100000,95.03
GEO-RAINFALL_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,57.92,index,valid,synthetic_geo,21.38,103.02,100000,97.32
GEO-RAINFALL_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,79.07,index,valid,synthetic_geo,21.38,103.02,100000,85.66
GEO-RAINFALL_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,50.87,index,valid,synthetic_geo,21.38,103.02,100000,93.31
GEO-RAINFALL_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,79.72,index,valid,synthetic_geo,21.38,103.02,100000,98.86
GEO-RAINFALL_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,83.57,index,valid,synthetic_geo,21.38,103.02,100000,91.1
GEO-RAINFALL_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,73.07,index,valid,synthetic_geo,21.38,103.02,100000,94.85
