temperature_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,latitude,longitude,population_est,coverage_pct
GEO-TEMPERATURE_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,84.94,index,valid,synthetic_geo,21.38,103.02,100000,89.6
GEO-TEMPERATURE_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,79.84,index,valid,synthetic_geo,21.38,103.02,100000,97.62
GEO-TEMPERATURE_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,30.44,index,valid,synthetic_geo,21.38,103.02,100000,88.39
GEO-TEMPERATURE_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,18.09,index,valid,synthetic_geo,21.38,103.02,100000,97.96
GEO-TEMPERATURE_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,47.19,index,valid,synthetic_geo,21.38,103.02,100000,91.16
GEO-TEMPERATURE_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,80.75,index,valid,synthetic_geo,21.38,103.02,100000,95.8
GEO-TEMPERATURE_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,37.94,index,valid,synthetic_geo,21.38,103.02,100000,88.09
GEO-TEMPERATURE_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,37.83,index,valid,synthetic_geo,21.38,103.02,100000,85.03
GEO-TEMPERATURE_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,62.38,index,valid,synthetic_geo,21.38,103.02,100000,88.08
GEO-TEMPERATURE_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,31.67,index,valid,synthetic_geo,21.38,103.02,100000,88.71
GEO-TEMPERATURE_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,77.91,index,valid,synthetic_geo,21.38,103.02,100000,98.73
GEO-TEMPERATURE_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,53.05,index,valid,synthetic_geo,21.38,103.02,100000,94.03
