weather_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,latitude,longitude,population_est,coverage_pct
GEO-WEATHER_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,34.04,index,valid,synthetic_geo,21.38,103.02,100000,95.92
GEO-WEATHER_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,74.66,index,valid,synthetic_geo,21.38,103.02,100000,92.47
GEO-WEATHER_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,70.79,index,valid,synthetic_geo,21.38,103.02,100000,88.72
GEO-WEATHER_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,56.77,index,valid,synthetic_geo,21.38,103.02,100000,85.49
GEO-WEATHER_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,66.67,index,valid,synthetic_geo,21.38,103.02,100000,98.85
GEO-WEATHER_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,46.45,index,valid,synthetic_geo,21.38,103.02,100000,94.34
GEO-WEATHER_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,23.3,index,valid,synthetic_geo,21.38,103.02,100000,87.0
GEO-WEATHER_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,22.45,index,valid,synthetic_geo,21.38,103.02,100000,90.83
GEO-WEATHER_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,42.74,index,valid,synthetic_geo,21.38,103.02,100000,87.69
GEO-WEATHER_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,27.58,index,valid,synthetic_geo,21.38,103.02,100000,98.47
GEO-WEATHER_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,33.81,index,valid,synthetic_geo,21.38,103.02,100000,95.84
