asset_movement_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,asset_count,installed_count,age_days,unit_cost_vnd
INVENTORY-ASSET_MOVEMENT-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,31,8,400,3000000
INVENTORY-ASSET_MOVEMENT-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,20,5,400,8000000
INVENTORY-ASSET_MOVEMENT-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,35,9,400,10000000
INVENTORY-ASSET_MOVEMENT-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,ASSET_MOVEMENT,major,failed,3600,synthetic_inventory,33,7,401,3000000
INVENTORY-ASSET_MOVEMENT-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,36,7,401,13000000
INVENTORY-ASSET_MOVEMENT-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,19,6,401,7000000
INVENTORY-ASSET_MOVEMENT-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,38,5,402,4000000
INVENTORY-ASSET_MOVEMENT-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,42,8,402,13000000
INVENTORY-ASSET_MOVEMENT-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,31,8,400,11000000
INVENTORY-ASSET_MOVEMENT-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,35,5,400,11000000
INVENTORY-ASSET_MOVEMENT-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,35,9,400,9000000
INVENTORY-ASSET_MOVEMENT-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,30,9,401,3000000
INVENTORY-ASSET_MOVEMENT-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,32,5,401,13000000
INVENTORY-ASSET_MOVEMENT-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,ASSET_MOVEMENT,major,failed,3600,synthetic_inventory,43,7,401,17000000
INVENTORY-ASSET_MOVEMENT-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,47,5,402,9000000
INVENTORY-ASSET_MOVEMENT-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,10,7,402,3000000
