purchase_order_id,location_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,asset_count,installed_count,age_days,unit_cost_vnd
INVENTORY-PURCHASE_ORDER-00-00,LOC001,DBN,KV1,active,2026-08-18 00:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,17,6,400,12000000
INVENTORY-PURCHASE_ORDER-00-09,LOC001,DBN,KV1,active,2026-08-18 09:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,10,5,400,16000000
INVENTORY-PURCHASE_ORDER-00-18,LOC001,DBN,KV1,active,2026-08-18 18:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,49,9,400,8000000
INVENTORY-PURCHASE_ORDER-00-27,LOC001,DBN,KV1,degraded,2026-08-19 03:00:00,PURCHASE_ORDER,major,failed,3600,synthetic_inventory,43,10,401,7000000
INVENTORY-PURCHASE_ORDER-00-36,LOC001,DBN,KV1,active,2026-08-19 12:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,13,10,401,6000000
INVENTORY-PURCHASE_ORDER-00-45,LOC001,DBN,KV1,active,2026-08-19 21:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,45,5,401,12000000
INVENTORY-PURCHASE_ORDER-00-54,LOC001,DBN,KV1,active,2026-08-20 06:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,13,5,402,18000000
INVENTORY-PURCHASE_ORDER-00-63,LOC001,DBN,KV1,active,2026-08-20 15:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,27,7,402,15000000
INVENTORY-PURCHASE_ORDER-01-00,LOC002,SLA,KV1,active,2026-08-18 00:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,21,6,400,4000000
INVENTORY-PURCHASE_ORDER-01-09,LOC002,SLA,KV1,active,2026-08-18 09:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,50,9,400,1000000
INVENTORY-PURCHASE_ORDER-01-18,LOC002,SLA,KV1,active,2026-08-18 18:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,10,5,400,12000000
