stock_balance_daily_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,asset_count,installed_count,age_days,unit_cost_vnd
INVENTORY-STOCK_BALANCE_DAILY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,74.33,index,valid,synthetic_inventory,21,8,400,8000000
INVENTORY-STOCK_BALANCE_DAILY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,45.95,index,valid,synthetic_inventory,38,6,401,18000000
INVENTORY-STOCK_BALANCE_DAILY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,37.99,index,valid,synthetic_inventory,42,10,402,9000000
INVENTORY-STOCK_BALANCE_DAILY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,47.32,index,valid,synthetic_inventory,33,9,400,20000000
INVENTORY-STOCK_BALANCE_DAILY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,43.61,index,valid,synthetic_inventory,21,5,401,3000000
INVENTORY-STOCK_BALANCE_DAILY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,53.15,index,valid,synthetic_inventory,11,8,402,18000000
INVENTORY-STOCK_BALANCE_DAILY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,35.76,index,valid,synthetic_inventory,17,5,400,1000000
INVENTORY-STOCK_BALANCE_DAILY-02-24,LOC003,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,40.55,index,valid,synthetic_inventory,16,6,401,17000000
INVENTORY-STOCK_BALANCE_DAILY-02-48,LOC003,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,68.98,index,valid,synthetic_inventory,12,9,402,15000000
INVENTORY-STOCK_BALANCE_DAILY-03-00,LOC004,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,43.6,index,valid,synthetic_inventory,28,8,400,11000000
INVENTORY-STOCK_BALANCE_DAILY-03-24,LOC004,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,78.05,index,valid,synthetic_inventory,25,7,401,6000000
INVENTORY-STOCK_BALANCE_DAILY-03-48,LOC004,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,53.18,index,valid,synthetic_inventory,13,7,402,3000000
INVENTORY-STOCK_BALANCE_DAILY-04-00,LOC005,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,39.14,index,valid,synthetic_inventory,36,7,400,14000000
INVENTORY-STOCK_BALANCE_DAILY-04-24,LOC005,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,70.85,index,valid,synthetic_inventory,39,9,401,15000000
INVENTORY-STOCK_BALANCE_DAILY-04-48,LOC005,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,65.64,index,valid,synthetic_inventory,16,5,402,19000000
INVENTORY-STOCK_BALANCE_DAILY-05-00,LOC006,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,43.85,index,valid,synthetic_inventory,37,7,400,9000000
INVENTORY-STOCK_BALANCE_DAILY-05-24,LOC006,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,30.69,index,valid,synthetic_inventory,18,7,401,12000000
INVENTORY-STOCK_BALANCE_DAILY-05-48,LOC006,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,59.17,index,valid,synthetic_inventory,21,5,402,1000000
