antenna_inspection_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,planned_duration_min,actual_duration_min,part_count,labor_cost_vnd,tilt_deg,azimuth_deg,vswr,connector_condition,inspection_result
MAINTENANCE-ANTENNA_INSPECTION-00-09,ST0101,DBN,KV1,completed,2026-08-18 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.0,0,1.13,good,pass
MAINTENANCE-ANTENNA_INSPECTION-00-33,ST0101,DBN,KV1,completed,2026-08-19 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.0,0,1.36,good,pass
MAINTENANCE-ANTENNA_INSPECTION-00-57,ST0101,DBN,KV1,completed,2026-08-20 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.0,0,1.56,good,pass
MAINTENANCE-ANTENNA_INSPECTION-01-09,ST0202,SLA,KV1,completed,2026-08-18 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.3,120,1.59,good,pass
MAINTENANCE-ANTENNA_INSPECTION-01-33,ST0202,SLA,KV1,completed,2026-08-19 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.3,120,1.37,good,pass
MAINTENANCE-ANTENNA_INSPECTION-01-57,ST0202,SLA,KV1,completed,2026-08-20 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.3,120,1.26,good,pass
MAINTENANCE-ANTENNA_INSPECTION-02-09,ST0301,CMU,KV3,completed,2026-08-18 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.6,240,1.12,good,pass
MAINTENANCE-ANTENNA_INSPECTION-02-33,ST0301,CMU,KV3,completed,2026-08-19 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.6,240,1.3,good,pass
MAINTENANCE-ANTENNA_INSPECTION-02-57,ST0301,CMU,KV3,completed,2026-08-20 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.6,240,1.38,good,pass
MAINTENANCE-ANTENNA_INSPECTION-03-09,ST0402,NBH,KV1,completed,2026-08-18 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.9,0,1.32,good,pass
MAINTENANCE-ANTENNA_INSPECTION-03-33,ST0402,NBH,KV1,completed,2026-08-19 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.9,0,1.17,good,pass
MAINTENANCE-ANTENNA_INSPECTION-03-57,ST0402,NBH,KV1,completed,2026-08-20 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,4.9,0,1.56,good,pass
MAINTENANCE-ANTENNA_INSPECTION-04-09,ST0501,HCM,KV3,completed,2026-08-18 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,5.2,120,1.51,good,pass
MAINTENANCE-ANTENNA_INSPECTION-04-33,ST0501,HCM,KV3,completed,2026-08-19 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,5.2,120,1.22,good,pass
MAINTENANCE-ANTENNA_INSPECTION-04-57,ST0501,HCM,KV3,completed,2026-08-20 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,5.2,120,1.28,good,pass
MAINTENANCE-ANTENNA_INSPECTION-05-09,ST0601,KHA,KV2,completed,2026-08-18 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,5.5,240,1.48,good,pass
MAINTENANCE-ANTENNA_INSPECTION-05-33,ST0601,KHA,KV2,completed,2026-08-19 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,5.5,240,1.57,good,pass
MAINTENANCE-ANTENNA_INSPECTION-05-57,ST0601,KHA,KV2,completed,2026-08-20 09:00:00,ANTENNA_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,5.5,240,1.59,good,pass
