battery_inspection_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,planned_duration_min,actual_duration_min,part_count,labor_cost_vnd,voltage_v,capacity_pct,terminal_condition,inspection_result
MAINTENANCE-BATTERY_INSPECTION-00-09,ST0101,DBN,KV1,completed,2026-08-18 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,47.24,88.85,good,pass
MAINTENANCE-BATTERY_INSPECTION-00-33,ST0101,DBN,KV1,completed,2026-08-19 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,49.31,89.92,good,pass
MAINTENANCE-BATTERY_INSPECTION-00-57,ST0101,DBN,KV1,completed,2026-08-20 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,51.69,87.76,good,pass
MAINTENANCE-BATTERY_INSPECTION-01-09,ST0202,SLA,KV1,completed,2026-08-18 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,47.7,86.5,good,pass
MAINTENANCE-BATTERY_INSPECTION-01-33,ST0202,SLA,KV1,completed,2026-08-19 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,53.39,90.57,good,pass
MAINTENANCE-BATTERY_INSPECTION-01-57,ST0202,SLA,KV1,completed,2026-08-20 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,53.43,95.46,good,pass
MAINTENANCE-BATTERY_INSPECTION-02-09,ST0301,CMU,KV3,completed,2026-08-18 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,52.42,88.2,good,pass
MAINTENANCE-BATTERY_INSPECTION-02-33,ST0301,CMU,KV3,completed,2026-08-19 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,47.48,89.96,good,pass
MAINTENANCE-BATTERY_INSPECTION-02-57,ST0301,CMU,KV3,completed,2026-08-20 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,49.1,81.3,good,pass
MAINTENANCE-BATTERY_INSPECTION-03-09,ST0402,NBH,KV1,completed,2026-08-18 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,48.65,97.74,good,pass
MAINTENANCE-BATTERY_INSPECTION-03-33,ST0402,NBH,KV1,completed,2026-08-19 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,49.62,97.03,good,pass
MAINTENANCE-BATTERY_INSPECTION-03-57,ST0402,NBH,KV1,completed,2026-08-20 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,48.63,97.38,good,pass
MAINTENANCE-BATTERY_INSPECTION-04-09,ST0501,HCM,KV3,completed,2026-08-18 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,53.92,83.32,good,pass
MAINTENANCE-BATTERY_INSPECTION-04-33,ST0501,HCM,KV3,completed,2026-08-19 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,51.41,89.02,good,pass
MAINTENANCE-BATTERY_INSPECTION-04-57,ST0501,HCM,KV3,completed,2026-08-20 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,47.77,81.48,good,pass
MAINTENANCE-BATTERY_INSPECTION-05-09,ST0601,KHA,KV2,completed,2026-08-18 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,50.0,93.62,good,pass
MAINTENANCE-BATTERY_INSPECTION-05-33,ST0601,KHA,KV2,completed,2026-08-19 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,52.91,81.06,good,pass
MAINTENANCE-BATTERY_INSPECTION-05-57,ST0601,KHA,KV2,completed,2026-08-20 09:00:00,BATTERY_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,47.41,83.43,good,pass
