generator_inspection_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,planned_duration_min,actual_duration_min,part_count,labor_cost_vnd,fuel_level_pct,oil_pressure_kpa,start_test_result,inspection_result
MAINTENANCE-GENERATOR_INSPECTION-00-09,ST0101,DBN,KV1,completed,2026-08-18 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,93.43,331.3,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-00-33,ST0101,DBN,KV1,completed,2026-08-19 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,69.89,254.85,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-00-57,ST0101,DBN,KV1,completed,2026-08-20 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,60.83,282.64,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-01-09,ST0202,SLA,KV1,completed,2026-08-18 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,86.01,311.68,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-01-33,ST0202,SLA,KV1,completed,2026-08-19 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,59.23,379.5,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-01-57,ST0202,SLA,KV1,completed,2026-08-20 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,67.27,270.72,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-02-09,ST0301,CMU,KV3,completed,2026-08-18 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,63.64,258.8,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-02-33,ST0301,CMU,KV3,completed,2026-08-19 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,86.96,278.71,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-02-57,ST0301,CMU,KV3,completed,2026-08-20 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,57.68,266.93,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-03-09,ST0402,NBH,KV1,completed,2026-08-18 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,70.29,396.69,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-03-33,ST0402,NBH,KV1,completed,2026-08-19 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,72.5,357.4,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-03-57,ST0402,NBH,KV1,completed,2026-08-20 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,86.64,393.79,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-04-09,ST0501,HCM,KV3,completed,2026-08-18 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,94.51,307.62,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-04-33,ST0501,HCM,KV3,completed,2026-08-19 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,70.79,360.76,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-04-57,ST0501,HCM,KV3,completed,2026-08-20 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,83.69,349.8,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-05-09,ST0601,KHA,KV2,completed,2026-08-18 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,57.11,255.91,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-05-33,ST0601,KHA,KV2,completed,2026-08-19 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,77.99,373.78,passed,pass
MAINTENANCE-GENERATOR_INSPECTION-05-57,ST0601,KHA,KV2,completed,2026-08-20 09:00:00,GENERATOR_INSPECTION,info,success,60,synthetic_maintenance,180,160,1,200000,56.87,306.32,passed,pass
