inspection_schedule_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,planned_duration_min,actual_duration_min,part_count,labor_cost_vnd
MAINTENANCE-INSPECTION_SCHEDULE-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-00-33,ST0101,DBN,KV1,active,2026-08-19 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-00-57,ST0101,DBN,KV1,active,2026-08-20 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-01-33,ST0202,SLA,KV1,active,2026-08-19 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-01-57,ST0202,SLA,KV1,active,2026-08-20 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-02-33,ST0301,CMU,KV3,active,2026-08-19 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-02-57,ST0301,CMU,KV3,active,2026-08-20 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-03-33,ST0402,NBH,KV1,active,2026-08-19 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-03-57,ST0402,NBH,KV1,active,2026-08-20 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-04-33,ST0501,HCM,KV3,active,2026-08-19 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-04-57,ST0501,HCM,KV3,active,2026-08-20 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-05-33,ST0601,KHA,KV2,active,2026-08-19 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-INSPECTION_SCHEDULE-05-57,ST0601,KHA,KV2,active,2026-08-20 09:00:00,INSPECTION_SCHEDULE,info,success,60,synthetic_maintenance,180,160,1,200000
