maintenance_kpi_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,planned_duration_min,actual_duration_min,part_count,labor_cost_vnd
MAINTENANCE-MAINTENANCE_KPI_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,63.82,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,44.66,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,16.14,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,59.56,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,79.18,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,76.87,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,48.3,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,61.86,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,29.42,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,54.67,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,61.92,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,28.92,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,21.32,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,25.33,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,18.25,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,48.19,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,58.54,index,valid,synthetic_maintenance,180,160,1,200000
MAINTENANCE-MAINTENANCE_KPI_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,63.23,index,valid,synthetic_maintenance,180,160,1,200000
