preventive_checklist_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,planned_duration_min,actual_duration_min,part_count,labor_cost_vnd
MAINTENANCE-PREVENTIVE_CHECKLIST-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,PREVENTIVE_CHECKLIST,major,failed,3600,synthetic_maintenance,180,200,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
