noc_shift_handover_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,sla_minutes,response_minutes,resolution_minutes,reopen_count
OPS-NOC_SHIFT_HANDOVER-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,NOC_SHIFT_HANDOVER,major,failed,3600,synthetic_ops,360,10,240,0
OPS-NOC_SHIFT_HANDOVER-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,NOC_SHIFT_HANDOVER,major,failed,3600,synthetic_ops,360,10,240,0
OPS-NOC_SHIFT_HANDOVER-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
OPS-NOC_SHIFT_HANDOVER-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,NOC_SHIFT_HANDOVER,info,success,60,synthetic_ops,360,5,30,0
