operational_kpi_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sla_minutes,response_minutes,resolution_minutes,reopen_count
OPS-OPERATIONAL_KPI_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,29.93,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,71.76,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,33.52,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,33.44,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.49,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,43.32,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,51.23,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,80.96,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,58.51,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,64.24,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,81.74,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,71.2,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,17.23,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,48.14,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,38.26,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,20.0,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,80.62,count,valid,synthetic_ops,360,5,30,0
OPS-OPERATIONAL_KPI_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,26.22,count,valid,synthetic_ops,360,5,30,0
