repair_action_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,sla_minutes,response_minutes,resolution_minutes,reopen_count
OPS-REPAIR_ACTION-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,REPAIR_ACTION,major,failed,3600,synthetic_ops,360,10,240,0
OPS-REPAIR_ACTION-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,REPAIR_ACTION,major,failed,3600,synthetic_ops,360,10,240,0
OPS-REPAIR_ACTION-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
OPS-REPAIR_ACTION-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,REPAIR_ACTION,info,success,60,synthetic_ops,360,5,30,0
