spare_part_usage_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sla_minutes,response_minutes,resolution_minutes,reopen_count
OPS-SPARE_PART_USAGE-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,19.39,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,76.43,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,78.99,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,113.15,count,degraded,synthetic_ops,360,10,240,0
OPS-SPARE_PART_USAGE-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,48.86,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,22.18,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,55.01,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,58.04,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,55.09,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,39.64,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,51.96,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,24.74,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,44.37,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,43.45,count,degraded,synthetic_ops,360,10,240,0
OPS-SPARE_PART_USAGE-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,15.52,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,32.46,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,47.98,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-02-09,ST0301,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,26.96,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-02-18,ST0301,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,73.71,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-02-27,ST0301,CMU,KV3,active,2026-08-19-03,2026-08-19 03:00:00,40.98,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-02-36,ST0301,CMU,KV3,active,2026-08-19-12,2026-08-19 12:00:00,43.25,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-02-45,ST0301,CMU,KV3,active,2026-08-19-21,2026-08-19 21:00:00,19.16,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-02-54,ST0301,CMU,KV3,active,2026-08-20-06,2026-08-20 06:00:00,64.81,count,valid,synthetic_ops,360,5,30,0
