visit_checklist_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,sla_minutes,response_minutes,resolution_minutes,reopen_count
OPS-VISIT_CHECKLIST-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,VISIT_CHECKLIST,major,failed,3600,synthetic_ops,360,10,240,0
OPS-VISIT_CHECKLIST-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
