plan_history_id,plan_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,monthly_fee_vnd,down_mbps,up_mbps,eligible_count
PRODUCT-PLAN_HISTORY-00-00,PLAN01,DBN,KV1,active,2026-08-18 00:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,81
PRODUCT-PLAN_HISTORY-00-09,PLAN01,DBN,KV1,active,2026-08-18 09:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,180
PRODUCT-PLAN_HISTORY-00-18,PLAN01,DBN,KV1,active,2026-08-18 18:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,193
PRODUCT-PLAN_HISTORY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19 03:00:00,PLAN_HISTORY,major,failed,3600,synthetic_product,220000,100,50,186
PRODUCT-PLAN_HISTORY-00-36,PLAN01,DBN,KV1,active,2026-08-19 12:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,127
PRODUCT-PLAN_HISTORY-00-45,PLAN01,DBN,KV1,active,2026-08-19 21:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,95
PRODUCT-PLAN_HISTORY-00-54,PLAN01,DBN,KV1,active,2026-08-20 06:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,162
PRODUCT-PLAN_HISTORY-00-63,PLAN01,DBN,KV1,active,2026-08-20 15:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,59
PRODUCT-PLAN_HISTORY-01-00,PLAN02,SLA,KV1,active,2026-08-18 00:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,180
PRODUCT-PLAN_HISTORY-01-09,PLAN02,SLA,KV1,active,2026-08-18 09:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,80
PRODUCT-PLAN_HISTORY-01-18,PLAN02,SLA,KV1,active,2026-08-18 18:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,73
PRODUCT-PLAN_HISTORY-01-27,PLAN02,SLA,KV1,active,2026-08-19 03:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,157
PRODUCT-PLAN_HISTORY-01-36,PLAN02,SLA,KV1,active,2026-08-19 12:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,110
PRODUCT-PLAN_HISTORY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19 21:00:00,PLAN_HISTORY,major,failed,3600,synthetic_product,300000,200,100,53
PRODUCT-PLAN_HISTORY-01-54,PLAN02,SLA,KV1,active,2026-08-20 06:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,147
PRODUCT-PLAN_HISTORY-01-63,PLAN02,SLA,KV1,active,2026-08-20 15:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,82
PRODUCT-PLAN_HISTORY-02-00,PLAN03,CMU,KV3,active,2026-08-18 00:00:00,PLAN_HISTORY,info,success,60,synthetic_product,450000,300,150,75
PRODUCT-PLAN_HISTORY-02-09,PLAN03,CMU,KV3,active,2026-08-18 09:00:00,PLAN_HISTORY,info,success,60,synthetic_product,450000,300,150,153
PRODUCT-PLAN_HISTORY-02-18,PLAN03,CMU,KV3,active,2026-08-18 18:00:00,PLAN_HISTORY,info,success,60,synthetic_product,450000,300,150,51
PRODUCT-PLAN_HISTORY-02-27,PLAN03,CMU,KV3,active,2026-08-19 03:00:00,PLAN_HISTORY,info,success,60,synthetic_product,450000,300,150,187
PRODUCT-PLAN_HISTORY-02-36,PLAN03,CMU,KV3,active,2026-08-19 12:00:00,PLAN_HISTORY,info,success,60,synthetic_product,450000,300,150,113
PRODUCT-PLAN_HISTORY-02-45,PLAN03,CMU,KV3,active,2026-08-19 21:00:00,PLAN_HISTORY,info,success,60,synthetic_product,450000,300,150,111
PRODUCT-PLAN_HISTORY-02-54,PLAN03,CMU,KV3,active,2026-08-20 06:00:00,PLAN_HISTORY,info,success,60,synthetic_product,450000,300,150,56
PRODUCT-PLAN_HISTORY-02-63,PLAN03,CMU,KV3,active,2026-08-20 15:00:00,PLAN_HISTORY,info,success,60,synthetic_product,450000,300,150,84
PRODUCT-PLAN_HISTORY-03-00,PLAN01,NBH,KV1,active,2026-08-18 00:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,51
PRODUCT-PLAN_HISTORY-03-09,PLAN01,NBH,KV1,active,2026-08-18 09:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,76
