plan_price_history_id,plan_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,monthly_fee_vnd,down_mbps,up_mbps,eligible_count
PRODUCT-PLAN_PRICE_HISTORY-00-00,PLAN01,DBN,KV1,active,2026-08-18 00:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,82
PRODUCT-PLAN_PRICE_HISTORY-00-09,PLAN01,DBN,KV1,active,2026-08-18 09:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,151
PRODUCT-PLAN_PRICE_HISTORY-00-18,PLAN01,DBN,KV1,active,2026-08-18 18:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,200
PRODUCT-PLAN_PRICE_HISTORY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19 03:00:00,PLAN_PRICE_HISTORY,major,failed,3600,synthetic_product,220000,100,50,81
PRODUCT-PLAN_PRICE_HISTORY-00-36,PLAN01,DBN,KV1,active,2026-08-19 12:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,183
PRODUCT-PLAN_PRICE_HISTORY-00-45,PLAN01,DBN,KV1,active,2026-08-19 21:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,186
PRODUCT-PLAN_PRICE_HISTORY-00-54,PLAN01,DBN,KV1,active,2026-08-20 06:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,158
PRODUCT-PLAN_PRICE_HISTORY-00-63,PLAN01,DBN,KV1,active,2026-08-20 15:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,105
PRODUCT-PLAN_PRICE_HISTORY-01-00,PLAN02,SLA,KV1,active,2026-08-18 00:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,148
PRODUCT-PLAN_PRICE_HISTORY-01-09,PLAN02,SLA,KV1,active,2026-08-18 09:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,105
PRODUCT-PLAN_PRICE_HISTORY-01-18,PLAN02,SLA,KV1,active,2026-08-18 18:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,99
PRODUCT-PLAN_PRICE_HISTORY-01-27,PLAN02,SLA,KV1,active,2026-08-19 03:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,124
PRODUCT-PLAN_PRICE_HISTORY-01-36,PLAN02,SLA,KV1,active,2026-08-19 12:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,71
PRODUCT-PLAN_PRICE_HISTORY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19 21:00:00,PLAN_PRICE_HISTORY,major,failed,3600,synthetic_product,300000,200,100,123
PRODUCT-PLAN_PRICE_HISTORY-01-54,PLAN02,SLA,KV1,active,2026-08-20 06:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,101
PRODUCT-PLAN_PRICE_HISTORY-01-63,PLAN02,SLA,KV1,active,2026-08-20 15:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,117
PRODUCT-PLAN_PRICE_HISTORY-02-00,PLAN03,CMU,KV3,active,2026-08-18 00:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,450000,300,150,109
