product_usage_daily_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,monthly_fee_vnd,down_mbps,up_mbps,eligible_count
PRODUCT-PRODUCT_USAGE_DAILY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,16.34,index,valid,synthetic_product,220000,100,50,83
PRODUCT-PRODUCT_USAGE_DAILY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,42.7,index,valid,synthetic_product,220000,100,50,153
PRODUCT-PRODUCT_USAGE_DAILY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,22.59,index,valid,synthetic_product,220000,100,50,88
PRODUCT-PRODUCT_USAGE_DAILY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,37.98,index,valid,synthetic_product,300000,200,100,93
PRODUCT-PRODUCT_USAGE_DAILY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,84.04,index,valid,synthetic_product,300000,200,100,96
PRODUCT-PRODUCT_USAGE_DAILY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,21.12,index,valid,synthetic_product,300000,200,100,119
PRODUCT-PRODUCT_USAGE_DAILY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,53.67,index,valid,synthetic_product,450000,300,150,102
PRODUCT-PRODUCT_USAGE_DAILY-02-24,PLAN03,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,41.64,index,valid,synthetic_product,450000,300,150,125
PRODUCT-PRODUCT_USAGE_DAILY-02-48,PLAN03,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,54.51,index,valid,synthetic_product,450000,300,150,165
PRODUCT-PRODUCT_USAGE_DAILY-03-00,PLAN01,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,43.34,index,valid,synthetic_product,220000,100,50,116
PRODUCT-PRODUCT_USAGE_DAILY-03-24,PLAN01,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,68.73,index,valid,synthetic_product,220000,100,50,74
PRODUCT-PRODUCT_USAGE_DAILY-03-48,PLAN01,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,30.03,index,valid,synthetic_product,220000,100,50,165
PRODUCT-PRODUCT_USAGE_DAILY-04-00,PLAN02,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,47.37,index,valid,synthetic_product,300000,200,100,94
PRODUCT-PRODUCT_USAGE_DAILY-04-24,PLAN02,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,15.38,index,valid,synthetic_product,300000,200,100,71
PRODUCT-PRODUCT_USAGE_DAILY-04-48,PLAN02,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,15.98,index,valid,synthetic_product,300000,200,100,190
PRODUCT-PRODUCT_USAGE_DAILY-05-00,PLAN01,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,65.31,index,valid,synthetic_product,220000,100,50,75
PRODUCT-PRODUCT_USAGE_DAILY-05-24,PLAN01,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,65.04,index,valid,synthetic_product,220000,100,50,177
PRODUCT-PRODUCT_USAGE_DAILY-05-48,PLAN01,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,59.81,index,valid,synthetic_product,220000,100,50,123
